lfdn,v_280
1753,Stakeholders and customers assumption. For instance -  We assumed that all t-shirts are green. Thats how it always is 
1755,Stressed
1756,"People and organizations tend to follow familiar patterns. It's sometimes difficult to even make them understand there are other ways of doing things, let alone assessing and perhaps recognizing they may be better"
1759,informal nature of the project
1761,Prototyping vs build robust sustainable system
1791,df
1804,Lack of Tools 
1805,Customer not used to formalize requirements
1810,Trying to address multiple markets with one solution
1812,hard to contact customer
1820,mismanagement
1828,difficult access from the customer side
1840,same as the first
1842,With respect to to the case of non-functional requirements not being measurable: lack of time to invest in the formal definition of these requirements and the fact that they are implicit and not formally required by the customer
1844,very tight time
1849,Bad requirement interviews
1894,Different technical skills lead to a different language and different understandings of what is requested or required
1896,Vague or abstract requirements
1909,Inability to manage customer expectations
1911,Uncertainty of what is desired as system functionality
1917,insufficient documentation/briefing
1918,"Gaps in the creation, review and estimation of the requirements."
1923,Gap in the analysis of high-level requirements
1933,challenges in the actual deployment
1941,Lack of time
1961,written by product owners that know nothing about the product
1962,Difficult to know to how detailed the requirements should be;
1965,Dynamic market
1969,Developers implementing  cool  features without regard to the bigger picture.
