lfdn;v_248;v_283;tag
1402;Incomplete or hidden requirements;Wasted effort eliciting, frustration on behalf of sales/marketing when queried;Project or Organization:Increased difficulty of requirements elicitation
1403;Incomplete or hidden requirements;"further project delay; change of design descisions/architecture";Project or Organization:Increased number of change requests
1411;Incomplete or hidden requirements;prod issues;Project or Organization:Inefficient development
1462;Incomplete or hidden requirements;THE SOFTWARE does not meet the NEEDS;Product:Missing functionality of product
1560;Incomplete or hidden requirements;missing customer expectations;Customer:Customer dissatisfaction
1621;Incomplete or hidden requirements;Bad requirements, no prioritization, moving goal posts;Project or Organization:Difficulties in project management
1690;Incomplete or hidden requirements;Waste of resources DEVELOPERS time;Project or Organization:Difficulties in project management
1718;Incomplete or hidden requirements;software rework;Project or Organization:Effort overrun
1763;Incomplete or hidden requirements;Makes estimation more difficult and uncertain.;Project or Orgaization:Wrong estimates
1804;Incomplete or hidden requirements;Rework;Project or Organization:Effort overrun
1828;Incomplete or hidden requirements;wrong product design when creating solutions;Design and Implementation:Poor (system) design quality 
1849;Incomplete or hidden requirements;Unhappy end-uers;Customer:Customer dissatisfaction
1933;Incomplete or hidden requirements;challenges in the actual deployment;Design and Implementation:Inefficient development
1965;Incomplete or hidden requirements;Frustration / doubt in understanding of the project / additional effort;Project or Organization:Difficulties in project management
268;Inconsistent requirements;Less time to write requirements;Project or Organization:Poor documentation of requirements
482;Inconsistent requirements;More rework ;Project or Organization:Effort overrun
523;Inconsistent requirements;The final product turns out not to be what the customer wants;Customer:Customer dissatisfaction
910;Inconsistent requirements;System with the unwanted quality ;Product:Poor product quality 
923;Inconsistent requirements;rework of the development team;Project or Organization:Effort overrun
945;Inconsistent requirements;software delivery with features that do not meet the goal;Product:Missing functionality of product
1012;Inconsistent requirements;Multiple Testruns;Project or Organization:Effort overrun
1051;Inconsistent requirements;Doubts at later stages;Project or Organization:Missing traceability
1091;Inconsistent requirements;Deliveries with problems;Product:Poor product quality 
1194;Inconsistent requirements;"Requirements explosion in the backlog; delaying the release to resolve related requirements";Project or Organization:Difficulties in project management
1349;Inconsistent requirements;CUSTOMER DISSATISFACTION;Customer:Customer dissatisfaction
1458;Inconsistent requirements;NO CLEAR GOALS;Project or Organization:Increased difficulty of requirements elicitation
1668;Inconsistent requirements;REQUIREMENTS misunderstanding;Project or Organization:Increased difficulty of requirements elicitation
1670;Inconsistent requirements;requirement misunderstanding;Project or Organization:Increased difficulty of requirements elicitation
1733;Inconsistent requirements;> Development time;Project or Organization:Time overrun
106;Insufficient support by customer;Unclear requirements;Project or Organization:Increased difficulty of requirements elicitation
512;Insufficient support by customer;business value not added to product;Product:Decreased business value
722;Insufficient support by customer;Unlikely system will suit the customer's needs;Customer:Customer dissatisfaction
929;Insufficient support by customer;Lack of information necessary for the project;Project or Organization:Incomplete Requirements
952;Insufficient support by customer;requirements/scope not define;Project or Organization:Project scope becomes unclear
1126;Insufficient support by customer;"Discontent of those involved; Delays in deliveries; Product delivered different than expected;";Project or Organization:Difficulties in project management
1204;Insufficient support by customer;Unknowns left to end of project to resolve;Project or Organization:Difficulties in project management
1283;Insufficient support by customer;Delays in time to market;Project or Organization:Time overrun
35;Insufficient support by project lead;"lack of experience in software develoment; lack of experience in digital companies (4.0)";Project or Organization:Need for support by a more experienced developer
160;Insufficient support by project lead;less or no RE :-(;Project or Organization:Need for support by a more experienced developer
163;Insufficient support by project lead;significant project delays because needed decisions on direction not made or communicated;Project or Organization:Need for support by a more experienced developer
203;Insufficient support by project lead;I was not sure about that.;
661;Insufficient support by project lead;People do not know each other;Project or Organization:Difficulties in project management
825;Insufficient support by project lead;"Struggle to get a good pace going; Lag times while waiting for team members and/or the lead to complete certain tasks; Needing to fight for basic BA tasks to be completed";Project or Organization:Difficulties in project management
909;Insufficient support by project lead;Inaccuracy in the identification and specification of requirements;Project or Organization:Incomplete Requirements
1620;Insufficient support by project lead;Lowers morale and execution of project. ;Project or Organization:Difficulties in project management
1698;Insufficient support by project lead;NO CLEAR RULES;Project or Organization:Difficulties in project management
182;Missing traceability;Whether the product meets quality requirements ;Product:Poor product quality 
297;Missing traceability;Wrong implementation;Project or Organization:Inefficient development
864;Missing traceability;Difficulty in answering the requirements attest;Project or Organization:Increased difficulty of impact analyses
959;Missing traceability;Errors generated and not detected in related functionality;Project or Organization:Delayed detection of bugs and failures
984;Missing traceability;Lack of trust in team and contractor;Customer:Conflicts within the team
987;Missing traceability;more time required;Project or Organization:Time overrun
1010;Missing traceability;Missing/skipping process steps;Project or Organization:Difficulties in project management
1065;Missing traceability;Everything takes more time;Project or Organization:Time overrun
1080;Missing traceability;redundant information and impact on the implementation of solutions.;Project or Organization:Inefficient development
1360;Missing traceability;THE SYSTEM SHOULD BE MODIFIED;Product:Increased number of change requests
1435;Missing traceability;PROJECT LATE DELIVERY ;Project or Organization:Time overrun
1697;Missing traceability;Errors and wasting time in development.;Project or Organization:Delayed detection of bugs and failures
76;Moving targets (changing goals, business processes and / or requirements);"Redefinition of project scope; re-evaluation of needs and requirements";Project or Organization:Project scope becomes unclear
165;Moving targets (changing goals, business processes and / or requirements);delays, budget overruns, sometimes reduction of deliverable performance (rarely);Project or Organization:Difficulties in project management
205;Moving targets (changing goals, business processes and / or requirements);Scope-creep at high speed;Project or Organization:Project scope becomes unclear
291;Moving targets (changing goals, business processes and / or requirements);No focus, so it's hard to get things done;Project or Organization:Project scope becomes unclear
355;Moving targets (changing goals, business processes and / or requirements);time critical;Project or Organization:Time overrun
377;Moving targets (changing goals, business processes and / or requirements);Delivery timescales affected;Project or Organization:Time overrun
442;Moving targets (changing goals, business processes and / or requirements);projects take time to see the light. What is published must be complete;Project or Organization:Project scope becomes unclear
453;Moving targets (changing goals, business processes and / or requirements);redoing things;Product:Increased number of change requests
467;Moving targets (changing goals, business processes and / or requirements);scope, cost, quality, or time are changed;Project or Organization:Difficulties in project management
663;Moving targets (changing goals, business processes and / or requirements);Implication to quality in case of requirements and deveolping;Product:Poor product quality 
710;Moving targets (changing goals, business processes and / or requirements);rework, missed deadlines, running over budget;Project or Organization:Difficulties in project management
742;Moving targets (changing goals, business processes and / or requirements);Rework, work done unnecessarily ;Project or Organization:Effort overrun
758;Moving targets (changing goals, business processes and / or requirements);Team takes some time to adapt to new requirements;Project or Organization:Effort overrun
851;Moving targets (changing goals, business processes and / or requirements);project delays;Project or Organization:Time overrun
856;Moving targets (changing goals, business processes and / or requirements);Rework specification and implementation;Project or Organization:Effort overrun
932;Moving targets (changing goals, business processes and / or requirements);Stops productivity;Project or Organization:Effort overrun
1290;Moving targets (changing goals, business processes and / or requirements);Longer Development and Testing;Project or Organization:Time overrun
1351;Moving targets (changing goals, business processes and / or requirements);NO CLEAR COMMUNICATIONS BETWEEN Customer AND DEVELOPER;Project or Organization:Increased communication
1703;Moving targets (changing goals, business processes and / or requirements);LITTLE buffer TIME in reality;Project or Organization:Difficulties in project management
1762;Moving targets (changing goals, business processes and / or requirements);"Losing time; Decrease the confidence level in the team; ";Project or Organization:Difficulties in project management
1840;Moving targets (changing goals, business processes and / or requirements);waste of time which is bad due to it is time critical;Project or Organization:Time overrun
1894;Moving targets (changing goals, business processes and / or requirements);Waste of time for teams;Project or Organization:Time overrun
1909;Moving targets (changing goals, business processes and / or requirements);"Lack of methodology; Poor use of resources; demotivation";Project or Organization:Difficulties in project management
1923;Moving targets (changing goals, business processes and / or requirements);Waste of time to redeploy requirements;Project or Organization:Time overrun
144;Stakeholders with difficulties in separating requirements from previously known solution designs;this significantly constrains our ability to solve the underlying business problem;Project or Organization:Effort overrun
149;Stakeholders with difficulties in separating requirements from previously known solution designs;fixing bad designs instead of finding the best solution;Product:Poor (system) design quality 
370;Stakeholders with difficulties in separating requirements from previously known solution designs;frustration;Project or Organization:Conflicts within the team
384;Stakeholders with difficulties in separating requirements from previously known solution designs;reduced efficiency of new development since it needs to accommodate  old  technology thinking;Project or Organization:Inefficient development
649;Stakeholders with difficulties in separating requirements from previously known solution designs;unrealistc expectations;Product:Poor product quality 
723;Stakeholders with difficulties in separating requirements from previously known solution designs;stop;
819;Stakeholders with difficulties in separating requirements from previously known solution designs;There is no improvement in systems;Product:Poor product quality 
847;Stakeholders with difficulties in separating requirements from previously known solution designs;Gold plated and solutions erroneously delivered that could be delivered in much cheaper way ;Product:Poor product quality 
879;Stakeholders with difficulties in separating requirements from previously known solution designs;Solution with many limitations.;Product:Poor product quality 
997;Stakeholders with difficulties in separating requirements from previously known solution designs;poor usability, user complaints, feeling of stagnation in time;Product:Poor product quality 
1055;Stakeholders with difficulties in separating requirements from previously known solution designs;more value could be added to users;Customer:Decreased business value
1079;Stakeholders with difficulties in separating requirements from previously known solution designs;Rework;Project or Organization:Effort overrun
1097;Stakeholders with difficulties in separating requirements from previously known solution designs;Client does not identify what is needed in the process and what is practical legacy;Project or Organization:Increased difficulty of requirements elicitation
1105;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of coverage in the tests;Verification or Validation:Decreased test efficiency
1141;Stakeholders with difficulties in separating requirements from previously known solution designs;additional development effort ;Project or Organization:Effort overrun
1316;Stakeholders with difficulties in separating requirements from previously known solution designs;redesign of various parts of functionality ;Design or Implementation:Increased number of change requests
1331;Stakeholders with difficulties in separating requirements from previously known solution designs;Implicit and incomplete requirements, equirements ingnored in the beginning;Project or Organization:Increased difficulty of requirements elicitation
1352;Stakeholders with difficulties in separating requirements from previously known solution designs;PROJECT COST;Project or Organization:Budget overrun
1357;Stakeholders with difficulties in separating requirements from previously known solution designs;INCREASING TEAM EFFORT;Project or Organization:Effort overrun
1624;Stakeholders with difficulties in separating requirements from previously known solution designs;Do not take lead on innovative ideas outside the current scope;Project or Organization:Lack of innovation
1651;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholder confusion over scope of projects;Customer:Project scope becomes unclear
1705;Stakeholders with difficulties in separating requirements from previously known solution designs;COMPILATION or erroneous ANALYSIS;Project or Organization:Increased difficulty of requirements elicitation
774;Technically unfeasible requirements;bad relationship with customer;Customer:Customer dissatisfaction
1266;Technically unfeasible requirements;Delay in developing the project or even the non-implementation of the requisites.;Project or Organization:Inefficient development
1358;Technically unfeasible requirements;REQUIREMENTS THAT CAN NOT BE DEVELOPED;Project or Organization:Incomplete Requirements
1423;Technically unfeasible requirements;LACK OF REQUIREMENTS;Project or Organization:Incomplete Requirements
1820;Technically unfeasible requirements;More implementation costs;Project or Organization:Budget overrun
129;Terminological problems;Lots of confusion over terminology;Project or Organization:Increased difficulty of requirements elicitation
213;Terminological problems;Miss understanding and incorrect requirements;Project or Organization:Increased difficulty of requirements elicitation
217;Terminological problems;difficult to use system;Product:Poor product quality 
304;Terminological problems;inconsistent communication;Project or Organization:Increased communication
341;Terminological problems;constant translations that demands time;Project or Organization:Increased communication
416;Terminological problems;cost extra Time;Project or Organization:Budget overrun
570;Terminological problems;incosistent terminology in both internal and external documentation;Project or Organization:Poor documentation of requirements
626;Terminological problems;Lack of share understanding;Project or Organization:Increased communication
947;Terminological problems;customers are disappointed;Customer:Customer dissatisfaction
990;Terminological problems;frequent changes to adapt to new terminology;Project or organization:Increased number of change requests
1118;Terminological problems;Wrong understanding that leads to time and effort wasting;Project or Organization:Effort overrun
1161;Terminological problems;FAILURE OF requirements development;Project or Organization:Increased complexity in RE
1207;Terminological problems;people misunderstanding each other significantly;Project or Organization:Misunderstanding (overall)
1741;Terminological problems;Understanding problems to late in the development process;Project or Organization:Inefficient development
1753;Terminological problems;Our knowledge of the technology leads to use of technical terms that many stakeholders dont understand (leading to misunderstandings);Project or Organization:Misunderstanding (overall)
1962;Terminological problems;"Loss of quality in the implementation => rework;";Project or Organization:Effort overrun
150;Time boxing / Not enough time in general;Design gaps;Project or Organization:Missing traceability
239;Time boxing / Not enough time in general;Weak understanding of the problems ;Project or Organization:Misunderstanding (overall)
249;Time boxing / Not enough time in general;Bad quality;Product:Poor product quality 
310;Time boxing / Not enough time in general;risk of unsaid requirements;Project or Organization:Incomplete Requirements
364;Time boxing / Not enough time in general;"project takes twice as long as previously planned; budget increases; everybody is annoyed";Project or Organization:Difficulties in project management
387;Time boxing / Not enough time in general;"Quality degradation;untested requirements.";Project or Organization:Untestable requirements
393;Time boxing / Not enough time in general;bad quality;Product:Poor product quality 
461;Time boxing / Not enough time in general;"customer dissatisfaction; management dissatisfaction ";Customer:Customer dissatisfaction
468;Time boxing / Not enough time in general;Code rots: the quality of the code degrades over time due to the lack of time for refactoring.;Product:Solution becomes difficult to maintain
637;Time boxing / Not enough time in general;Not well enough analyzed requirements.;Project or Organization:Poor requirements quality (general)
735;Time boxing / Not enough time in general;Creation of errors in the project;Product:Increased number of failures / bugs
768;Time boxing / Not enough time in general;"too much work done with too little time; stress";Project or Organization:Effort overrun
830;Time boxing / Not enough time in general;time is money and is always going to be a problem. Involving the team doing the work to determine the time box period helps (ours were determined 12 months early by other people that did not work on the project with no rationale for the time box period).;Project or Organization:Difficulties in project management
865;Time boxing / Not enough time in general;wrong implementations / poorly done;Product:Poor product quality 
968;Time boxing / Not enough time in general;Quality problems;Product:Poor product quality 
1014;Time boxing / Not enough time in general;costs;Project or Organization:Budget overrun
1031;Time boxing / Not enough time in general;Team frustration, stress.;Project or Organization:Effort overrun
1111;Time boxing / Not enough time in general;pressure and mistakes;Project or Organization:Inefficient development
1114;Time boxing / Not enough time in general;Rework;Project or Organization:Effort overrun
1406;Time boxing / Not enough time in general;Personal task overload ;Project or Organization:Effort overrun
1417;Time boxing / Not enough time in general;OMISSION OF SOLUTIONS;Product:Solution becomes more complex
1466;Time boxing / Not enough time in general;Quality and technical debt suffer.;Product:Poor product quality 
1486;Time boxing / Not enough time in general;Increased cost of managing the solution and adapting it to new use cases;Project or Organization:Budget overrun
1761;Time boxing / Not enough time in general;Patience is a virtue;Project or Organization:Overall demotivation
1911;Time boxing / Not enough time in general;extension of time leading to possible additional costs;Project or Organization:Difficulties in project management
1918;Time boxing / Not enough time in general;Failure to achieve the goals.;Project or Organization:Inefficient development
41;Unclear / unmeasurable non-functional requirements;While we will try our best to ensure our non-functional requirements are adequate, we cannot guarantee certain response times/usability;Product:Unexpected non-functional requirements
93;Unclear / unmeasurable non-functional requirements;"time-consuming in elicitation and explanation; making assumptions; vague communication";Project or Organization:Increased difficulty of requirements elicitation
126;Unclear / unmeasurable non-functional requirements;Risk for the dev;Product:Wrong estimates
231;Unclear / unmeasurable non-functional requirements;Potentially not conforming to stakeholder needs;Customer:Validation of requirements becomes difficult
427;Unclear / unmeasurable non-functional requirements;Increased risk for issues discovered in production;Design or Implementation:Missing traceability
1064;Unclear / unmeasurable non-functional requirements;Project delays;Project or Organization:Time overrun
1359;Unclear / unmeasurable non-functional requirements;LITTLE LIFE span of the SYSTEM (CHANGEs needed);Project or Organization:Increased number of change requests
1744;Unclear / unmeasurable non-functional requirements;Same;
1812;Unclear / unmeasurable non-functional requirements;argument over what is delivered and what was expected;Customer:Customer dissatisfaction
1932;Unclear / unmeasurable non-functional requirements;"failures in development, which leads to an increased effort; potential unnecessary interactions with the customer";Project or Organization:Effort overrun
1941;Unclear / unmeasurable non-functional requirements;Some problems are detected later, and you need to work extra hours;Project or Organization:Effort overrun
1963;Unclear / unmeasurable non-functional requirements;x;
168;Underspecified requirements that are too abstract and allow for various interpretations;Researchers and developers have very different abilities.;Project or Organization:Misunderstanding (overall)
267;Underspecified requirements that are too abstract and allow for various interpretations;Re doing things ;Project or Organization:Effort overrun
283;Underspecified requirements that are too abstract and allow for various interpretations;uncertainty of of what should be developed and tested - or how it should function.;Project or Organization:Misunderstanding (overall)
549;Underspecified requirements that are too abstract and allow for various interpretations;Delivered results may not be 100% what is required leading to repeat development;Product:Increased number of failures / bugs
694;Underspecified requirements that are too abstract and allow for various interpretations;spent time developing the wrong thing;Project or Organization:Decreased efficiency (overall)
1070;Underspecified requirements that are too abstract and allow for various interpretations;underestimation of delivery roadmaps - unhappy customer and management;Customer:Customer dissatisfaction
1122;Underspecified requirements that are too abstract and allow for various interpretations;unmet expectations;Customer:Customer dissatisfaction
1139;Underspecified requirements that are too abstract and allow for various interpretations;misunderstandings;Project or Organization:Misunderstanding (overall)
1339;Underspecified requirements that are too abstract and allow for various interpretations;DEFAULTS, repeating DELAYS.;Project or Organization:Decreased efficiency (overall)
1353;Underspecified requirements that are too abstract and allow for various interpretations;MUCH EFFORT needed TO have formal AGREEMENTS;Project or Organization:Effort overrun
1426;Underspecified requirements that are too abstract and allow for various interpretations;development needs many iterations to be finished;Project or Organization:Effort overrun
1723;Underspecified requirements that are too abstract and allow for various interpretations;CORPORATE SPONSORSHIP;Project or Organization:Decreased manageability
1831;Underspecified requirements that are too abstract and allow for various interpretations;It's hard to pin-point a requirement when several people have different interpretations of the same.;Project or Organization:Misunderstanding (overall)
1896;Underspecified requirements that are too abstract and allow for various interpretations;Successive iterations to refine the requirements;Project or Organization:Increased difficulty of requirements elicitation
1917;Underspecified requirements that are too abstract and allow for various interpretations;the same as above;
141;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;validation and specificity of requirements sometimes lacking;Verification or Validation:Validation of requirements becomes difficult
167;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;delays;Project or Organization:Time overrun
365;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;rework of the application;Project or Organization:Effort overrun
868;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;changing requirements and rework;Project or Organization:Increased number of requirements changes
880;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;inaccurate estimates.;Project or Organization:Wrong estimates
1291;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;"Many change requests; ";Project or Organization:Increased number of requirements changes
1675;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;"Confusion when questions need answers; low morale";Project or Organization:Increased difficulty of requirements elicitation
58;Weak access to customer needs and / or (internal) business information;missing information;Project or Organization:Weak knowledge transfer
359;Weak access to customer needs and / or (internal) business information;Lack of personnel with domain knowledge;Project or Organization:Weak knowledge transfer
534;Weak access to customer needs and / or (internal) business information;Any;
901;Weak access to customer needs and / or (internal) business information;"Delivery failed; rework";Project or Organization:Effort overrun
