;lfdn;v_250;v_284;tag
52;1676;Gold plating (implementation of features without corresponding requirements);usually me stopping the team from spending too much time on a (usually small) task;Decreased efficiency (overall)
53;1909;Gold plating (implementation of features without corresponding requirements);"Lack of methodology; Poor use of resources; demotivation";Overall demotivation
54;1941;Gold plating (implementation of features without corresponding requirements);Same as above;Overall demotivation
55;129;Incomplete or hidden requirements;Missed requirements;Poor (system) design quality
56;163;Incomplete or hidden requirements;lots of rework to clarify what previous business analyst did resulting in significant project delays and not delivering an acceptable product to customer;Decreased efficiency (overall)
57;239;Incomplete or hidden requirements;Time and effort spent in unneeded features;Decreased efficiency (overall)
58;263;Incomplete or hidden requirements;"many change requests; late testing; long evelopment cycles";Inefficient development
59;489;Incomplete or hidden requirements;bad customer acceptance;Customer dissatisfaction
60;549;Incomplete or hidden requirements;Delivered results may not be 100% what is required leading to repeat development;Decreased efficiency (overall)
61;676;Incomplete or hidden requirements;development problems arise;Inefficient development
62;864;Incomplete or hidden requirements;Rework after development;Inefficient development
63;901;Incomplete or hidden requirements;"Delivery failed; rework";Inefficient development
64;924;Incomplete or hidden requirements;rework;Inefficient development
65;928;Incomplete or hidden requirements;Low quality in the generated requirements and rework at all stages of the production process.;Inefficient development
66;987;Incomplete or hidden requirements;more time required;Inefficient development
67;1039;Incomplete or hidden requirements;New activities included in sprints;Project scope becomes unclear
68;1051;Incomplete or hidden requirements;Unsatisfactory product;Inefficient development
69;1100;Incomplete or hidden requirements;Rework;Inefficient development
70;1101;Incomplete or hidden requirements;process failures;Inefficient development
71;1279;Incomplete or hidden requirements;Similar to weak knowledge of customer domain;Need for support by a more experienced developer
72;1290;Incomplete or hidden requirements;Longer Development and Testing;Inefficient development
73;1316;Incomplete or hidden requirements;implementation estimates are not accurate;Inefficient development
74;1359;Incomplete or hidden requirements;MALFUNCTIONS;Customer dissatisfaction
75;1416;Incomplete or hidden requirements;bad scope ESTIMATion;Project scope becomes unclear
76;1457;Incomplete or hidden requirements;CHANGE CONTROL;Increased number of change requests
77;1483;Incomplete or hidden requirements;DELAYED TIMELINE;Inefficient development
78;1617;Incomplete or hidden requirements;Slip of delivery dates, overtimes, overwork of a team;Inefficient development
79;1744;Incomplete or hidden requirements;Same;Inefficient development
80;1810;Incomplete or hidden requirements;Unexpected delays in schedule;Inefficient development
81;1932;Incomplete or hidden requirements;"failures in development, which leads to an increased effort; potential unnecessary interactions with the customer";Inefficient development
82;1961;Incomplete or hidden requirements;time wasted;Inefficient development
83;1969;Incomplete or hidden requirements;The system doesn't do what it needs to do.;Customer dissatisfaction
84;93;Inconsistent requirements;"time-consuming in elicitation and explanation; unnecessary changes/work";Increased complexity in RE
85;119;Inconsistent requirements;missing features;Customer dissatisfaction
86;370;Inconsistent requirements;redo of development;Inefficient development
87;916;Inconsistent requirements;Product with low quality;Customer dissatisfaction
88;917;Inconsistent requirements;Rework;Inefficient development
89;921;Inconsistent requirements;Impact on development;Inefficient development
90;933;Inconsistent requirements;final product insufficient and unsatisfactory.;Customer dissatisfaction
91;952;Inconsistent requirements;requirements/scope not define;Difficulties in project management
92;1011;Inconsistent requirements;"delayed completion of project;repeated re-development of certain modules";Inefficient development
93;1070;Inconsistent requirements;conflicts, discussions, delay;Difficulties in project management
94;1079;Inconsistent requirements;Rework;Inefficient development
95;1097;Inconsistent requirements;system modules have compatibility issues;Poor (system) design quality
96;1159;Inconsistent requirements;failures IN THE PROJECT;Poor (system) design quality
97;1352;Inconsistent requirements;USERS dissatisfaction;Customer dissatisfaction
98;1403;Inconsistent requirements;"overtimes; stress; ";Conflicts within the team
99;1406;Inconsistent requirements;Misunderstandings;Conflicts within the team
100;1426;Inconsistent requirements;increased communications effort;Difficulties in project management
101;1435;Inconsistent requirements;PRODUCTS WITH DIFFERENT CAPABILITIES;Difficulties in project management
102;1560;Inconsistent requirements;project implementation delays while trying to understand needs at later phases;Inefficient development
103;1624;Inconsistent requirements;wastage on throw away projects;Customer dissatisfaction
104;1804;Inconsistent requirements;Rework;Inefficient development
105;1933;Inconsistent requirements;challenges in the actual deployment;Customer dissatisfaction
106;160;Insufficient support by customer;incomplete or wring details;Increased difficulty of requirements elicitation
107;179;Insufficient support by customer;hidden requirements;Increased difficulty of requirements elicitation
108;310;Insufficient support by customer;downtimes;Decreased efficiency (overall)
109;364;Insufficient support by customer;"project takes twice as long as previously planned; budget increases; everybody is annoyed";Difficulties in project management
110;710;Insufficient support by customer;risk of not building the right product;Customer dissatisfaction
111;851;Insufficient support by customer;Initial elicitation failures (first iteration cycles);Increased difficulty of requirements elicitation
112;958;Insufficient support by customer;Deadline for service demands are compromised;Difficulties in project management
113;1017;Insufficient support by customer;more investigation required by development team;Need for support by a more experienced developer
114;1091;Insufficient support by customer;project does not progress;Inefficient development
115;1723;Insufficient support by customer;Impatience of the CUSTOMER;Customer dissatisfaction
116;1742;Insufficient support by customer;busted timeschedules;Inefficient development
117;199;Insufficient support by project lead;Support for skipped development steps.  Backfilling later.;Difficulties in project management
118;203;Insufficient support by project lead;I was not sure about that.;Poor (system) design quality
119;420;Insufficient support by project lead;stops in project because of late decisions;Difficulties in project management
120;1350;Insufficient support by project lead;THE SOFTWARE DOES NOT MEET REQUIREMENTS;Customer dissatisfaction
121;205;Missing traceability;no one notices or cares;Increased maintenance costs
122;427;Missing traceability;Quality issues could go undetected;Increased maintenance costs
123;637;Missing traceability;Hard to find where from the requirement originated.;Increased maintenance costs
124;719;Missing traceability;It is not known where the error occurred;Increased maintenance costs
125;910;Missing traceability;Difficulty in correcting problems;Increased maintenance costs
126;1105;Missing traceability;Reusing test;Poor product quality
127;1454;Missing traceability;TEAM lack of motivation;Overall demotivation
128;1727;Missing traceability;USERS WITHOUT KNOWLEDGE;Difficulties in project management
129;149;Moving targets (changing goals, business processes and / or requirements);inefficient;Difficulties in project management
130;297;Moving targets (changing goals, business processes and / or requirements);Bad quality and reliability;Customer dissatisfaction
131;330;Moving targets (changing goals, business processes and / or requirements);management of expectations, delays, costs;Difficulties in project management
132;387;Moving targets (changing goals, business processes and / or requirements);"Increase of effort in testing;bad motivation of test team.";Overall demotivation
133;425;Moving targets (changing goals, business processes and / or requirements);Customer does not get what he need in time.;Customer dissatisfaction
134;661;Moving targets (changing goals, business processes and / or requirements);The project is extended;Inefficient development
135;722;Moving targets (changing goals, business processes and / or requirements);Lot of rework, thus missing deadlines;Inefficient development
136;865;Moving targets (changing goals, business processes and / or requirements);Rework;Inefficient development
137;876;Moving targets (changing goals, business processes and / or requirements);the system takes  time to go into production;Inefficient development
138;880;Moving targets (changing goals, business processes and / or requirements);Rework.;Inefficient development
139;930;Moving targets (changing goals, business processes and / or requirements);demands design and development rework;Inefficient development
140;947;Moving targets (changing goals, business processes and / or requirements);false/incomplete things are implemented;Increased maintenance costs
141;990;Moving targets (changing goals, business processes and / or requirements);Instability in the information flow;Difficulties in project management
142;1194;Moving targets (changing goals, business processes and / or requirements);Greater effort in code coverage tests with automÌÁticasÌ± Major incident resolution times and updating test cases;Tests are of low quality
143;1349;Moving targets (changing goals, business processes and / or requirements);PROBLEMS BETWEEN THE manager AND the CUSTOMER;Difficulties in project management
144;1402;Moving targets (changing goals, business processes and / or requirements);Marketing not understanding what provides customer value vs. something that look sexy but is confusing to the customer;Difficulties in project management
145;1441;Moving targets (changing goals, business processes and / or requirements);waste of effort;Inefficient development
146;1455;Moving targets (changing goals, business processes and / or requirements);LACK OF DOCUMENTATION;Increased maintenance costs
147;1459;Moving targets (changing goals, business processes and / or requirements);They HAVE TO MAKE the same functionality SEVERAL TIMES UNTIL it works;Inefficient development
148;1486;Moving targets (changing goals, business processes and / or requirements);Distracted team with lack of focus;Inefficient development
149;1651;Moving targets (changing goals, business processes and / or requirements);Stakeholder confusion over co-ordination of project dependencies and project timings;Misunderstanding (overall)
150;76;Stakeholders with difficulties in separating requirements from previously known solution designs;"Education process in place; reiteration of focus";Decreased manageability
151;91;Stakeholders with difficulties in separating requirements from previously known solution designs;unclear requirements;Increased difficulty of requirements elicitation
152;120;Stakeholders with difficulties in separating requirements from previously known solution designs;Risk of overconstraining design;Lack of innovation
153;166;Stakeholders with difficulties in separating requirements from previously known solution designs;disorganization;Difficulties in project management
154;167;Stakeholders with difficulties in separating requirements from previously known solution designs;mediocre solution;Customer dissatisfaction
155;217;Stakeholders with difficulties in separating requirements from previously known solution designs;unclear requirements;Increased difficulty of requirements elicitation
156;729;Stakeholders with difficulties in separating requirements from previously known solution designs;In some cases it led to present two different solutions (with prototypes), so that the user may select (what the user had requested, and what the team of project considered that could be the best solution);Decreased efficiency (overall)
157;849;Stakeholders with difficulties in separating requirements from previously known solution designs;lack of focus on what the company can provide value;Difficulties in project management
158;870;Stakeholders with difficulties in separating requirements from previously known solution designs;Product out of specification;Customer dissatisfaction
159;1065;Stakeholders with difficulties in separating requirements from previously known solution designs;More discussions with stakeholders are required;Increased communication
160;1066;Stakeholders with difficulties in separating requirements from previously known solution designs;chaos on the project, schedule delays, cost overrun;Difficulties in project management
161;1082;Stakeholders with difficulties in separating requirements from previously known solution designs;Implies no commitment;Missing engagement by customer
162;1124;Stakeholders with difficulties in separating requirements from previously known solution designs;Excessive gaps and high cost of adaptation of the new solution to be equal to the previous process.;Difficulties in project management
163;1347;Stakeholders with difficulties in separating requirements from previously known solution designs;restricted innovation;Lack of innovation
164;1424;Stakeholders with difficulties in separating requirements from previously known solution designs;LACK OF SUPPLEMENTS;Difficulties in project management
165;1894;Stakeholders with difficulties in separating requirements from previously known solution designs;"Time spent on stakeholder management; downtime in requirements discussion";Decreased efficiency (overall)
166;1918;Stakeholders with difficulties in separating requirements from previously known solution designs;Difficulty in finding consensus on a plan.;Conflicts within the team
167;1962;Stakeholders with difficulties in separating requirements from previously known solution designs;"little innovative products;";Lack of innovation
168;81;Technically unfeasible requirements;Customer-providers relationship;Untestable requirements
169;144;Technically unfeasible requirements;"this may cause us to be unable to deliver the desired solution; may cause significant delays in delivering something; may have to provide a different solution if the initially desired one is not possible";Solution becomes more complex
170;830;Technically unfeasible requirements;Invalid solution.;Customer dissatisfaction
171;847;Technically unfeasible requirements;A lot of re-work to understand how to either meet or to remove those requirements;Decreased efficiency (overall)
172;1168;Technically unfeasible requirements;FAILURE TO COMPLY WITH THE REQUESTED;Customer dissatisfaction
173;1224;Technically unfeasible requirements;Distrust in technicians;Customer dissatisfaction
174;1668;Technically unfeasible requirements;LACK OF DETAIL OR EXCESSIVE FUNCTIONALITY;Incomplete Requirements
175;1670;Technically unfeasible requirements;Lack of detail;Incomplete Requirements
176;1717;Technically unfeasible requirements;MORE RESOURCES USED FOR THE CUSTOMER;Difficulties in project management
177;1911;Technically unfeasible requirements;Feature not implemented;Customer dissatisfaction
178;41;Terminological problems;This simply makes the process of creating the software harder. It is overcome via proper communication.;Difficulties in project management
179;231;Terminological problems;Potentially not conforming to stakeholder needs;Customer dissatisfaction
180;259;Terminological problems;misunderstand;Misunderstanding (overall)
181;268;Terminological problems;Too much projects for one stakeholder;Difficulties in project management
182;355;Terminological problems;time critical ;Less time left for RE
183;446;Terminological problems;delivery impact;Decreased efficiency (overall)
184;479;Terminological problems;Glossary;Validation of requirements becomes difficult
185;786;Terminological problems;The customer has too much to work on at once.;Validation of requirements becomes difficult
186;819;Terminological problems;ambiguous information;Increased difficulty of requirements elicitation
187;956;Terminological problems;NP;NotCodable
188;1021;Terminological problems;functional and structural errors;Difficulties in project management
189;1069;Terminological problems;identifying cultural background earlier  ;Increased communication
190;1076;Terminological problems;Have to explain frequently the methods used;Increased communication
191;1341;Terminological problems;LACK OF DOCUMENTATION;Incomplete Requirements
192;1343;Terminological problems;CUSTOMER do not understand the SYSTEM;Customer dissatisfaction
193;1357;Terminological problems;PROJECT COST INCREASE;Wrong estimates
194;1413;Terminological problems;UNAVAILABILITY;Validation of requirements becomes difficult
195;1419;Terminological problems;LACK OF TRUST;Customer dissatisfaction
196;1458;Terminological problems;NO GOOD COMMUNICATION;Validation of requirements becomes difficult
197;1756;Terminological problems;Usually leads to time wasted clarifying what looks like a weird or inconsistent requirement, but it can lead to implementing the wrong requirements (potential delays and additional costs);Increased difficulty of requirements elicitation
198;1844;Terminological problems;generates lack of understanding;Misunderstanding (overall)
199;126;Time boxing / Not enough time in general;Risk for the dev;Difficulties in project management
200;168;Time boxing / Not enough time in general;People often underestimate how much time a task requires.;Difficulties in project management
201;377;Time boxing / Not enough time in general;Perception from customer that delivery is not on track or not enough is being delivered;Customer dissatisfaction
202;416;Time boxing / Not enough time in general;some quality issues;Poor (system) design quality
203;444;Time boxing / Not enough time in general;low morale in team;Overall demotivation
204;485;Time boxing / Not enough time in general;poor code quality ;Poor (system) design quality
205;511;Time boxing / Not enough time in general;Stress;Conflicts within the team
206;525;Time boxing / Not enough time in general;"some functions will not be implemented; cost is higher";Missing functionality of product
207;663;Time boxing / Not enough time in general;Implication to project quality and project cost;Poor (system) design quality
208;909;Time boxing / Not enough time in general;imprecision in the identification and specification of requirements;Poor (system) design quality
209;912;Time boxing / Not enough time in general;Rushed, stressed project staff, without the ability to think through outcomes before delivering.;Customer dissatisfaction
210;923;Time boxing / Not enough time in general;deteriorated relationship with the customer;Overall demotivation
211;959;Time boxing / Not enough time in general;staff overload, fatigue,  etc ...;Conflicts with the customer
212;1012;Time boxing / Not enough time in general;Missing features, bad Useability;Missing functionality of product
213;1141;Time boxing / Not enough time in general;rework in later development phase;Inneficient development
214;1163;Time boxing / Not enough time in general;Demotivation;Overall demotivation
215;1238;Time boxing / Not enough time in general;the development stage is started without clear requirements (for having devoted less time than necessary) and we noticed definition errors in advanced stages of the process, which is much more costly to correct.;Increased maintenance costs
216;1327;Time boxing / Not enough time in general;Lack of quality.;Increased maintenance costs
217;1620;Time boxing / Not enough time in general;Impacts business by not delivering on promises. ;Customer dissatisfaction
218;1690;Time boxing / Not enough time in general;SYSTEM OR PROJECT WITH serious failures or shortcomings;Customer dissatisfaction
219;1697;Time boxing / Not enough time in general;Code not as good as it may be.;Increased maintenance costs
220;1703;Time boxing / Not enough time in general;INCOMPLETE PRODUCT;Missing functionality of product
221;1741;Time boxing / Not enough time in general;Angry stakeholders;Customer dissatisfaction
222;1753;Time boxing / Not enough time in general;Unable to deliver expected functionality and performance in the given time - delays of the project.;Customer dissatisfaction
223;1840;Time boxing / Not enough time in general;The outcome will be of bad quality and this will go to maintenance and cost alot;Increased maintenance costs
224;1842;Time boxing / Not enough time in general;"Implementation of a project that is not exactly what the customer wants; poor use of the software by the customer - for not answering all your needs; It can be good because it puts the sw earlier in the hands of users to obtain feedback";Customer dissatisfaction
225;1849;Time boxing / Not enough time in general;"Low quality deliverable; incomplete requirements";Increased maintenance costs
226;1923;Time boxing / Not enough time in general;Less time for analysis and validation;Poor (system) design quality
227;215;Unclear / unmeasurable non-functional requirements;unsatisfied customers, delayed acceptance of solution;Customer dissatisfaction
228;283;Unclear / unmeasurable non-functional requirements;hard to carry our precise performance testing;Poor (system) design quality
229;453;Unclear / unmeasurable non-functional requirements;redoing things;Inneficient development
230;534;Unclear / unmeasurable non-functional requirements;Any;Poor (system) design quality
231;539;Unclear / unmeasurable non-functional requirements;problems in designing;Poor (system) design quality
232;997;Unclear / unmeasurable non-functional requirements;costs of hardware to improve performance;Poor (system) design quality
233;1055;Unclear / unmeasurable non-functional requirements;it has impact on architectural decisions;Poor (system) design quality
234;1139;Unclear / unmeasurable non-functional requirements;misunderstandings;Poor requirements quality (general)
235;1289;Unclear / unmeasurable non-functional requirements;Acceptance in the end because workarounds are needed;Decreased user acceptance
236;1356;Unclear / unmeasurable non-functional requirements;REQUIREMENTS not CLEAR and BUSINESS rules not ESTABLISHED;Poor requirements quality (general)
237;1360;Unclear / unmeasurable non-functional requirements;MALFUNCTIONS;Poor (system) design quality
238;1417;Unclear / unmeasurable non-functional requirements;INCOMPLETE RESULTS;Poor requirements quality (general)
239;1433;Unclear / unmeasurable non-functional requirements;INADEQUATE PROJECT SCOPE;Difficulties in project management
240;1917;Unclear / unmeasurable non-functional requirements;the same as above;Difficulties in project management
241;213;Underspecified requirements that are too abstract and allow for various interpretations;Incorrect requirements. ;Poor requirements quality (general)
242;384;Underspecified requirements that are too abstract and allow for various interpretations;"increased time for clarification resulting in delay of delivery of new features; delay in documenting requirements thereby increasing the risk of deviations between sofwatre and requirements";Inneficient development
243;461;Underspecified requirements that are too abstract and allow for various interpretations;"customer dissatisfaction; development team dissatisfaction because is not clear what to do";Customer dissatisfaction
244;468;Underspecified requirements that are too abstract and allow for various interpretations;Incorrect implementations that do not meet the specified requirements.;Customer dissatisfaction
245;740;Underspecified requirements that are too abstract and allow for various interpretations;"Estimation error; re work";Inneficient development
246;879;Underspecified requirements that are too abstract and allow for various interpretations;Rework.;Inneficient development
247;1010;Underspecified requirements that are too abstract and allow for various interpretations;Missing/skipping process steps;Inneficient development
248;1111;Underspecified requirements that are too abstract and allow for various interpretations;rework and errors;Inneficient development
249;1118;Underspecified requirements that are too abstract and allow for various interpretations;The same above;Inneficient development
250;1239;Underspecified requirements that are too abstract and allow for various interpretations;lost time due to endless discussions (often after implementation) and rework;Inneficient development
251;1351;Underspecified requirements that are too abstract and allow for various interpretations;SOFTWARE not 100% working;Customer dissatisfaction
252;1355;Underspecified requirements that are too abstract and allow for various interpretations;PRODUCT DEVELOPED not conforming the NEEDS;Customer dissatisfaction
253;1423;Underspecified requirements that are too abstract and allow for various interpretations;LACK OF COMMUNICATION AND RELATIONSHIP;Conflicts within the team
254;1466;Underspecified requirements that are too abstract and allow for various interpretations;Time lost and frustration gained across the team as we work to get clear, shared requirements.;Overall demotivation
255;1467;Underspecified requirements that are too abstract and allow for various interpretations;implemented wrong behaviours and require rework;Inneficient development
256;1621;Underspecified requirements that are too abstract and allow for various interpretations;Bad requirements, no prioritization, moving goal posts;Increased difficulty of requirements elicitation
257;1705;Underspecified requirements that are too abstract and allow for various interpretations;failures IN THE APPLICATION DEVELOPMENT;Inneficient development
258;1733;Underspecified requirements that are too abstract and allow for various interpretations;> Development time;Inneficient development
259;1759;Underspecified requirements that are too abstract and allow for various interpretations;misunderstandings in implementation;Poor (system) design quality
260;182;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Difficulty in completing bathe project ;Difficulties in project management
261;512;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;unclear direction for team, time wasted ;Difficulties in project management
262;1122;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Conflict with the various teams on the expectation of each deliverable;Conflicts within the team
263;1204;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Costly reset to align;Difficulties in project management
264;1266;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Change or loss of the contract by not achieving  its clauses, by the customers;Difficulties in project management
265;1695;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;unable to reuse the WORK PERFORMED.;Inefficient development
266;1761;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Need to close customer dialog ;Increased communication
267;1812;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;delay and rework;Inneficient development
268;141;Weak access to customer needs and / or (internal) business information;discover issues only during User Acceptance Testing;Delayed detection of missing functions
269;291;Weak access to customer needs and / or (internal) business information;Not sure that we are doing the right things;Customer dissatisfaction
270;304;Weak access to customer needs and / or (internal) business information;"missing acceptance criteria; difficult starting point";Validation of requirements becomes difficult
271;437;Weak access to customer needs and / or (internal) business information;rework;Inneficient development
272;723;Weak access to customer needs and / or (internal) business information;"stop;stray";Inefficient development
273;768;Weak access to customer needs and / or (internal) business information;"incomplete requirements; sliding of timeline";Poor documentation of requirements
274;1006;Weak access to customer needs and / or (internal) business information;Delay in eliciting requirements;Inneficient development
275;1187;Weak access to customer needs and / or (internal) business information;Requirements shelved;Increased difficulty of requirements elicitation
276;1283;Weak access to customer needs and / or (internal) business information;Incomplete, not fully satisfactory product;Poor product quality
277;1526;Weak access to customer needs and / or (internal) business information;Rework;Inefficient development
278;1650;Weak access to customer needs and / or (internal) business information;Time;Difficulties in project management
279;1669;Weak access to customer needs and / or (internal) business information;NEGATIVES TO THE DEVELOPMENT upgrades;Difficulties in project management
280;1698;Weak access to customer needs and / or (internal) business information;NO CLEAR undestandig of what the CUSTOMER WANTS;Need for support by a more experienced developer
281;1718;Weak access to customer needs and / or (internal) business information;"software which solves the wrong problems; customer dissatisfaction; longer meetings";Customer dissatisfaction
282;1791;Weak access to customer needs and / or (internal) business information;df;NotCodable
283;1828;Weak access to customer needs and / or (internal) business information;difficulty in clarification of requirements;Increased difficulty of requirements elicitation
284;146;Weak knowledge about customer's application domain;Spend to much time on the wrong things;Inefficient development
285;359;Weak knowledge about customer's application domain;Lack of personnel with domain knowledge;Need for support by a more experienced developer
286;523;Weak knowledge about customer's application domain;Delays in development time;Inefficient development
287;573;Weak knowledge about customer's application domain;Prolonged timescales to understa nd business needs;Difficulties in project management
288;626;Weak knowledge about customer's application domain;Lack of domain understanding;Increased difficulty of requirements elicitation
289;758;Weak knowledge about customer's application domain;Guessing and having a vague idea about what they need;Implementation of irrelevant requirements
290;856;Weak knowledge about customer's application domain;It does not have a phase transfer of knowledge, just to try something new and if this new need old features we have to investigate and talk to the team, but some details always go unnoticed resulting in rework;Weak knowledge transfer
291;985;Weak knowledge about customer's application domain;Waste of time researching the subject;Inefficient development
292;1288;Weak knowledge about customer's application domain;working in the wrong direction;Inefficient development
293;1331;Weak knowledge about customer's application domain;constant design changes and impacts in developing and testing;Inefficient development
294;1358;Weak knowledge about customer's application domain;INCOMPLETE DOMAIN IN THE APPLICATION FIELD;Increased difficulty of requirements elicitation
295;1805;Weak knowledge about customer's application domain;difficult to analyze customer's requirements;Increased difficulty of impact analyses
296;754;Weak relationship between customer and project lead;ye;Conflicts with the customer
297;1415;Weak relationship between customer and project lead;Miscommunication;Conflicts with the customer
298;1462;Weak relationship between customer and project lead;COMPANY DISPUTES generate disagreement;Difficulties in project management
299;1482;Weak relationship between customer and project lead;SOFTWARE does NOT meet requisites;Customer dissatisfaction
