lfdn;v_343;tag
1435;Review of Enterprise Systems and their integration;NotCodable
1327;Solution concept of infrastructure;Infrastructure solution concept
182;Specific guidelines standard or practice;Following guidelines
182;Specific guidelines standard or practice;Following standards
1126;specific topic in the main project document;NotCodable
1349;Stablished in the contract;Contract
839;State that project work must be compatible with existing corporate information systems and security requirements;Textual requirements
573;system architecture diagrams;System architecture diagrams
1820;Text;Textual requirements
1296;Text;Textual requirements
1329;text;Textual requirements
1929;Text;Textual requirements
569;Text;Textual requirements
845;text;Textual requirements
880;Text and diagrams;Textual requirements
880;Text and diagrams;Diagrams
1011;text, referenced to technical specifications, rules (e.g. interface changes);Textual requirements
1111;textual;Textual requirements
147;textual;Textual requirements
183;Textual;Textual requirements
1467;Textual;Textual requirements
560;Textual & diagrams ;Textual requirements
560;Textual & diagrams ;Diagrams
1428;textual according to a tempalte;Textual requirements
412;Textual conformancy statements with standards and automated tests of that conformancy;Textual requirements
412;Textual conformancy statements with standards and automated tests of that conformancy;Following standards
412;Textual conformancy statements with standards and automated tests of that conformancy;Automated tests
453;textual requirements;Textual requirements
1911;textual requirements;Textual requirements
349;textual requirements;Textual requirements
661;textual requirements;Textual requirements
750;Textual requirements and diagrams;Textual requirements
750;Textual requirements and diagrams;Diagrams
1923;textual requirements for interoperability between systems;Textual requirements
1753;Textual requirements specifying backwards compatibility between system components (specific electronics, network trafic performance engines, API software, host and OS);Textual requirements
851;textual requirements, guidelines;Textual requirements
851;textual requirements, guidelines;Following guidelines
231;textual requirements, use-cases, user stories;Textual requirements
231;textual requirements, use-cases, user stories;Use cases
231;textual requirements, use-cases, user stories;User stories
332;textual, io-lists;Textual requirements
332;textual, io-lists;IO lists
1402;Textual, test plans;Textual requirements
1402;Textual, test plans;Test plans
912;This is usually done with diagrams and business rules;Diagrams
912;This is usually done with diagrams and business rules;Business rules
952;time of transformation. ;NotCodable
115;Typically quantified textual requirements;Quantified textual requirements
857;unmeasurable textual;Textual requirements
1188;unmeasurable textual requirements;Textual requirements
909;unmeasurable textual requirements;Textual requirements
768;use case;Use cases
1650;Use cases, informal text;Use cases
1650;Use cases, informal text;Textual requirements
758;User stories;User stories
278;using non-quantified textual requirements;Textual requirements
511;using non-quantified textual requirements;Textual requirements
162;using quantified textual requirements;Quantified textual requirements
1141;using quantified textual requirements;Quantified textual requirements
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Quantified textual requirements
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Diagrams
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Following guidelines
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Following standards
1039;using textual requirements based on the restrictions set by the customer;Textual requirements
945;Using unmeasurable requirements textual;Textual requirements
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.;Textual requirements
1703;White box testing is pefformed to check compatibility in the information;NotCodable
968;With document that specifies the platforms to be used;Textual requirements
1482;WRITTEN DOCUMENTATION OF PERCENTAGE OF COMPATIBILITY.;Quantified textual requirements
