lfdn;v_349;tag
377;Textual requirements with supporting tables of roles and entitlements;Roles and permissions
1402;Textual, test plans;Textual requirements
1402;Textual, test plans;Test plans
1118;The same.;NotCodable
1618;This our covered in our Design Documents often using text based requirements;Textual requirements
742;Threat modelling;Threat modelling
1188;unmeasurable textual requirements;Textual requirements
768;use case;Use cases
1435;USER ROLES;Roles and permissions
1466;User story/incident/backlog tracking tool;User stories
1039;using diagrams;Diagrams
945;Using measurable textual requirements ;Quantified textual requirements
1097;using non-measurable textual requirements;Textual requirements
511;using non-quantified textual requirements;Textual requirements
278;using non-quantified textual requirements;Textual requirements
149;using non-quantified textual requirements, using quantified textual requirements;Textual requirements
1291;using quantified textual requirements;Quantified textual requirements
1141;using quantified textual requirements;Quantified textual requirements
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Quantified textual requirements
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Diagrams
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Following guidelines
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Following standards
912;Usually managed by external specialists, unless there is an obvious risk, which is directly handled at project level;NotCodable
960;We are placing the data in share portal accessible to only right receipients ;NotCodable
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.;Textual requirements
968;With a document that specifies the security mechanisms being deployed ;NotCodable
