lfdn;v_350;tag
1283;Non-quantified textual requirements, diagrams;
1189;non-quantified textual requirements, using quantified textual requirements;
208;non-quantified textual, diagrams;
916;not measurable;
548;OK;
1844;operability;
723;operability;
879;operability;
894;Operational system verification;
1756;overall site layout, a few mock-ups to define some patterns, some styling documentation (e.g. CSS documentation);
1035;plain text;
197;Plain text;
1663;preferred to be reusable in next phases (we have 4 or 5 phases in this project);
1620;Primarily informally through customer feedback;
1690;PROTECTION against user errors;
1423;PROTECTION against user errors;
1917;Prototype, scketh;
1650;Prototypes;
1349;Prototypes  UX report;
1805;prototypes / screen shots;
1355;prototyping;
1275;prototyping;
1462;PROTOTYPing;
928;Prototyping of interfaces.;
626;Quality scenarios;
1066;quantified text requirements;
106;quantified textual and visual requirements;
1767;Quantified textual requirement;
985;Quantified textual requirements;
1742;quantified textual requirements;
384;quantified textual requirements;
442;quantified textual requirements;
502;Quantified textual requirements;
163;Referral to NYS Standards for accessibility, languages, Supplemental Specification, User Interface Specification, mockups;
1289;Requirements on the UI Components Wireframe and Server Sde Services;
393;screen mockups;
930;screen prototypes ;
1384;screenshots;
573;screenshots from prototypes, simplicity of use;
758;Sketches;
1621;Sketches;
1697;Sketches and user input;
182;Specific guidelines standard or practice;
1126;specific topic in the main project document;
292;Stakeholder analysis, Senario and use case analysis;
1010;standards;
754;Standards and parameters documented in wiki or shared repository;
1441;styleguide;
215;Styleguide Guidelines with exact layouting guidlines;
1327;system specification in chapter non-functional requirements;
845;text;
569;Text;
1296;Text;
1820;Text;
1688;text and diagrams;
549;Text based, comments from System Designer;
1006;text documents and graphics;
1477;Text information;
1008;Text, Mockups;
93;textual;
1467;Textual;
91;textual;
147;textual;
217;textual;
722;Textual;
332;textual;
560;Textual & diagrams ;
1428;textual according to a tempalte;
1932;textual requirements;
719;Textual requirements;
297;Textual requirements;
349;textual requirements;
341;textual requirements;
750;Textual requirements and diagrams;
851;textual requirements and test evolution by prototyping;
370;textual requirements in our template used;
231;textual requirements, use-cases, user stories;
1279;Textual with anecdotal evidence from customers;
1402;Textual, test plans, user testing;
1118;The same.;
912;These are usually initially picked up from interviews and validated either at workshops or by group email to stakeholders.;
1618;This our covered in our UX Design Documents often using text based requirements and sketches;
876;through the flow of screens developed by the design and the specs for development;
1957;UI - guidelines;
1188;unmeasurable textual requirements;
1962;Usability requirements are made in mocksups;
1831;usability testing and non measurable textual requirements;
768;use case;
683;Use case diagrams;
76;Use case diagrams, textual requirements,use cases, business rules;
146;Use cases and user storytelling;
205;User acceptance testing;
149;user interface specification;
1076;User Interface, evaluate knowledge levels of each user;
1741;User intervace aesthetics;
1717;USER MANUALS;
1357;USER MANUALS;
1703;USER satisfaction;
75;user story;
1466;User story/incident/backlog tracking tool;
661;User Testing. Functional design prototypes;
48;Using a tool (PTC Integrity);
359;Using customer's request;
868;using measurable textual requirements;
1291;using non-quantified textual requirements;
1316;using non-quantified textual requirements;
511;using non-quantified textual requirements;
278;using non-quantified textual requirements;
120;using non-quantified textual requirements;
1062;using prototype;
1141;using quantified textual requirements;
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;
945;Using unmeasurable textual requirements ;
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.;
710;We document the Accessibility norm to be used.;
1486;wireframes and flowcharts;
968;With interface specification document;
524;With sketches of the user interface, following standards, usability testing;
