lfdn;v_254;v_281;tag
199;Inconsistent requirements;Insufficient time spent in development and lack of proper review;
263;Inconsistent requirements;complexity of project (lack of understanding the objectives and constraints);
359;Inconsistent requirements;There are businesses that operate at the discretion of workers.;
894;Inconsistent requirements;Rework;
1021;Inconsistent requirements;botched analysis;
1064;Inconsistent requirements;Lack of requirement engineering competence:Lack of project management competence;
1066;Inconsistent requirements;Customer requirements were either totally vague or extremely detailed...;
1124;Inconsistent requirements;Due to lack of project internal communication.;
1126;Inconsistent requirements;"Lack of experience in driving requirements discovery process; unprepared key users;";
1316;Inconsistent requirements;requirement grooming dot done accurate enough;
1402;Inconsistent requirements;Communication skill sets weak in sales/marketing;
1675;Inconsistent requirements;Lack of communication between analysts, design etc;
1917;Inconsistent requirements;inexperienced personal;
213;Insufficient support by customer;There is situations where customer representatives are too busy or less interested;
278;Insufficient support by customer;lack of trust relationship, lack of negotiation;
295;Insufficient support by customer;Absence of sponsor;
377;Insufficient support by customer;Lack of senior engagement from the customer;
468;Insufficient support by customer;It is critical that the customer is involved in the project and is willing to provide as much help as necessary.;
740;Insufficient support by customer;Availability of the client;
1051;Insufficient support by customer;Insufficient customer motivation;
1204;Insufficient support by customer;Staff access limited;
1422;Insufficient support by customer;INCOMPLETE REQUIREMENTS;
1454;Insufficient support by customer;INSUFFICIENT SUPPORT BY CUSTOMER;
1820;Insufficient support by customer;Communication failure;
1842;Insufficient support by customer;Client was not dedicated exclusively to my project, so sometimes he had other projects to which devoted more attention - the other projects were less important, but often were more urgent;
1933;Insufficient support by customer;challenges in the actual deployment;
203;Insufficient support by project lead;Answer same with the above;
268;Insufficient support by project lead;Can't overview the stakeholders and their problems ;
865;Insufficient support by project lead;Lack of interest;
1341;Insufficient support by project lead;CUSTOMERS DO NOT TAKE THE TIME TO LEARN;
1413;Insufficient support by project lead;CUSTOMERS Do NOT TAKE THE TIME TO LEARN;
1419;Insufficient support by project lead;WEAK RELATIONS;
1703;Insufficient support by project lead;The responsible should be part of the project TO SEE THE CONSEQUENCES OF CHANGE;
283;Missing traceability;test coverage unknown;
710;Missing traceability;tools and processes issue;
916;Missing traceability;Lack of documentation for seting up traceabilities (business rules, functional requirements, non-functional requirements);
924;Missing traceability;requirements writeup;
1100;Missing traceability;Makes the documentation more complex ;
1163;Missing traceability;Programming before stating the problem;
1187;Missing traceability;Lack of documentation refinement;
1207;Missing traceability;lack of systematic approach and processes;
168;Moving targets (changing goals, business processes and / or requirements);The project lacks a clear goal.;
384;Moving targets (changing goals, business processes and / or requirements);"customer does not follow the goal to standardize processes around the developed software; therefore software is often changed to accommodate individual and specific business requirements and processes";
393;Moving targets (changing goals, business processes and / or requirements);long project span;
482;Moving targets (changing goals, business processes and / or requirements);Frequent UI changes;
485;Moving targets (changing goals, business processes and / or requirements);last minute emergency affecting current developments;
640;Moving targets (changing goals, business processes and / or requirements);"customer resistance to change; poor execution of newly required documentation";
684;Moving targets (changing goals, business processes and / or requirements);Lever ;
849;Moving targets (changing goals, business processes and / or requirements);The type of contract often changed;
918;Moving targets (changing goals, business processes and / or requirements);The process is not standardized, it is very volatile;
933;Moving targets (changing goals, business processes and / or requirements);last minute requirements change.;
984;Moving targets (changing goals, business processes and / or requirements);customer requirements;
1069;Moving targets (changing goals, business processes and / or requirements);individual initiatives;
1161;Moving targets (changing goals, business processes and / or requirements);CHANGING PRIORITIES FOR LEGAL CONSTRAINTS.;
1238;Moving targets (changing goals, business processes and / or requirements);"volatile market; problems in achieving certain goals that make it necessary to reprioritise";
1239;Moving targets (changing goals, business processes and / or requirements);customer changes their plan with insufficient synchronisation with the project;
1283;Moving targets (changing goals, business processes and / or requirements);Lack of sufficient strategic planning on the customer side;
1742;Moving targets (changing goals, business processes and / or requirements);lacks in customer understanding how changes impacts project regarding economics, planning resources;
1753;Moving targets (changing goals, business processes and / or requirements);Our technical world is changing. In our case its available bandwidth in telecom networks, more routers between nodes, mor capable endpoints (smartphones, tablets), and changing usecases (like streaming media, netflix...);
41;Stakeholders with difficulties in separating requirements from previously known solution designs;We are basing our project off of another app that we have used, but we are trying to make it better - this makes it difficult to see our innovation as the customers are used to the old apps;
446;Stakeholders with difficulties in separating requirements from previously known solution designs;frustration;
864;Stakeholders with difficulties in separating requirements from previously known solution designs;Poor involvement in the project;
901;Stakeholders with difficulties in separating requirements from previously known solution designs;very large product, causing this difficulty;
921;Stakeholders with difficulties in separating requirements from previously known solution designs;Has requirements versioning.;
930;Stakeholders with difficulties in separating requirements from previously known solution designs;The client tries to define the solution based on the known and not based on what is best;
1340;Stakeholders with difficulties in separating requirements from previously known solution designs;Poorly planned REQUIREMENTS;
1349;Stakeholders with difficulties in separating requirements from previously known solution designs;CUSTOMER DOES NOT DETACH HIMSELF FROM EXISTING SOLITIONS / RESISTANCE TO CHANGE;
1433;Stakeholders with difficulties in separating requirements from previously known solution designs;LACK OF KNOWLEDGE;
1668;Stakeholders with difficulties in separating requirements from previously known solution designs;Difficult to quantify;
1670;Stakeholders with difficulties in separating requirements from previously known solution designs;Difficult to quantify;
1896;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders non tech-savvy;
1923;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of training;
1969;Stakeholders with difficulties in separating requirements from previously known solution designs;Unwillingness to re-engineer business processes in the contects of new technology.;
120;Technically unfeasible requirements;Lack of technical studies;
188;Technically unfeasible requirements;The want to copy specific features from other products that can not fit in the current System Infrastructure.;
208;Technically unfeasible requirements;legacy software is still the king and missing knowledge about the basic facts;
267;Technically unfeasible requirements;Not enough communication and analysis ;
355;Technically unfeasible requirements;new technology like BEV battery electric vehicles with a lot of challenges;
416;Technically unfeasible requirements;New tech, first ever done;
1296;Technically unfeasible requirements;Risky project goals;
1542;Technically unfeasible requirements;1 platform leads to a common base of the functionality and asking for contradictory features to that communality only increases complexity and makes in many cases no real business case;
1727;Technically unfeasible requirements;Ambiguous REQUIREMENTS;
81;Terminological problems;Cultural-language differences;
93;Terminological problems;history;
97;Terminological problems;Many undocumented abbreviations;
106;Terminological problems;Lack of quality time;
182;Terminological problems;Software required;
249;Terminological problems;Everyone comes from a different background;
330;Terminological problems;Role taken by each stakeholder;
523;Terminological problems;Lack of an analyst and a written document from a very poor shape;
525;Terminological problems;Always a problem between project, cutomer ande the internal departments at the customer (e.g production and finance);
586;Terminological problems;same word can have a differnt meaning ;
1017;Terminological problems;different teams using the same thing for different things;
1114;Terminological problems;Lack of concern of stakeholders.;
1266;Terminological problems;Change scenarios in sequential cascade of users.;
1327;Terminological problems;Somtimes results are not htat good as expected - redesing is requestred.;
1353;Terminological problems;CUSTOMER AND TEAM DO NOT agree;
1356;Terminological problems;Unsatisfied CUSTOMER;
1424;Terminological problems;UNDERSPECIFIED REQUIREMENTS ;
1466;Terminological problems;Some generic terms are heavily loaded with application-specific meaning in some circles.;
1651;Terminological problems;Consistent jargon across different parts of the business;
1761;Terminological problems;To get the project team to see the whole picture ;
1810;Terminological problems;Different backgrounds for different team members;
1941;Terminological problems;Perhaps the failure of a list of terms to use and their definitions;
167;Time boxing / Not enough time in general;Communication;
297;Time boxing / Not enough time in general;Project planning;
467;Time boxing / Not enough time in general;both the team and the client, sometimes do not understand the importance of devoting more time to specific activities, but which make the project take a little longer for the sake of obtaining a better result;
819;Time boxing / Not enough time in general;Lack of planning;
929;Time boxing / Not enough time in general;Urgency for results;
956;Time boxing / Not enough time in general;NP;
1291;Time boxing / Not enough time in general;Complete development of a new product in a small timeframe;
1384;Time boxing / Not enough time in general;the client takes long to approve the filed work and shortens the remaining time schedule;
1435;Time boxing / Not enough time in general;INSUFFICIENT PERSONAL IN MANY PROJECTS;
1459;Time boxing / Not enough time in general;ALL IS DONE AT LAST MOMENT;
1751;Time boxing / Not enough time in general;Wrong time estimation;
1812;Time boxing / Not enough time in general;customer wants everthing right now - problem with scoping;
1965;Time boxing / Not enough time in general;Due to constraints to the budget approved for the project;
129;Unclear / unmeasurable non-functional requirements;Poor understanding of need;
210;Unclear / unmeasurable non-functional requirements;requirements are taken well;
313;Unclear / unmeasurable non-functional requirements;Due to time pressure some non-functional requirements end up being less well specified than the functional requirements.  E.g. a reference to an external document rather than pulling out and specifying individual relevant requirements.;
425;Unclear / unmeasurable non-functional requirements;Hard to know if it is right.;
437;Unclear / unmeasurable non-functional requirements;"weaknesses when defining them; difficulty when quantifying them";
676;Unclear / unmeasurable non-functional requirements;the client is not able to define want things he wants;
694;Unclear / unmeasurable non-functional requirements;lack of pre-sales to better understand client needs;
952;Unclear / unmeasurable non-functional requirements;process not defined in one go;
1010;Unclear / unmeasurable non-functional requirements;not reviewed by testers;
1031;Unclear / unmeasurable non-functional requirements;little time is spent on revealing requirements.;
1097;Unclear / unmeasurable non-functional requirements;Non-functional requirements are requested at high level;
1122;Unclear / unmeasurable non-functional requirements;Expectation without details or request, but implicit in the customer view;
1416;Unclear / unmeasurable non-functional requirements;EMPLOYEES WHO DO NOT COLLABORATE;
1621;Unclear / unmeasurable non-functional requirements;Specifying requirements with  it should work like this product ;
1676;Unclear / unmeasurable non-functional requirements;this generally works out fine for us, but we don't always think the non-functional requirements through, in favour of delivering more stories in the current sprint.;
1695;Unclear / unmeasurable non-functional requirements;LACK OF PROCESS INTEGRATION;
1698;Unclear / unmeasurable non-functional requirements;Unclear REQUIREMENTS;
1744;Unclear / unmeasurable non-functional requirements;Same;
1759;Unclear / unmeasurable non-functional requirements;informal nature of the project;
1849;Unclear / unmeasurable non-functional requirements;Bad requirement interviews;
1909;Unclear / unmeasurable non-functional requirements;Lack of methodology;
1961;Unclear / unmeasurable non-functional requirements;no one cares about this (i.e. no time, budget to even define them), until something breaks / someone complains;
119;Underspecified requirements that are too abstract and allow for various interpretations;customer not communicating wider system design issues;
147;Underspecified requirements that are too abstract and allow for various interpretations;Project goal is unclear;
876;Underspecified requirements that are too abstract and allow for various interpretations;generally requirements are described when new functionalities are discovered, allowing refactoring,;
880;Underspecified requirements that are too abstract and allow for various interpretations;Laws as a source of requirements.;
910;Underspecified requirements that are too abstract and allow for various interpretations;Staff training in the elicitation and writing of requirements;
923;Underspecified requirements that are too abstract and allow for various interpretations;Customer has difficulty to list / present requirements;
945;Underspecified requirements that are too abstract and allow for various interpretations;very complex requirements with N possibilities ;
987;Underspecified requirements that are too abstract and allow for various interpretations;more time required;
1014;Underspecified requirements that are too abstract and allow for various interpretations;bad documentation;
1080;Underspecified requirements that are too abstract and allow for various interpretations;The concepts are weak and not documented, the same indicator may have several meanings. Customers are unclear about the full organizational chart.;
1417;Underspecified requirements that are too abstract and allow for various interpretations;DIFFERENCES IN THE KNOWLEDGE ABOUT technologies;
1462;Underspecified requirements that are too abstract and allow for various interpretations;CUSTOMER DOES NOT KNOW WHAT HE NEEDS TO BE SATISFIED;
1620;Underspecified requirements that are too abstract and allow for various interpretations;Sometimes requirements are not specific enough from the customer or account management so clarification is needed. ;
1718;Underspecified requirements that are too abstract and allow for various interpretations;"Lack of mechanism to generate specific enough requirements; Shortage of time to specify requirements";
1741;Underspecified requirements that are too abstract and allow for various interpretations;Assumptions of same knowledge;
1755;Underspecified requirements that are too abstract and allow for various interpretations;Missunderstandings;
1828;Underspecified requirements that are too abstract and allow for various interpretations;"multiple responsibles for the writing of requirements; lack of technical knowlede when writing the requirements";
1962;Underspecified requirements that are too abstract and allow for various interpretations;"Some requirements are assumed as given and are not written down;";
663;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;No explicit procedure model in cerntain disciplines and management methods ;
722;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;It happens;
1082;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;.;
1358;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;changing market;
1411;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;too frequent and highly urgent projects and change requests;
1560;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Attempt to please customer by giving them what they ask for rather than digging for what they really need;
1791;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;as;
146;Weak access to customer needs and / or (internal) business information;internal politics and big organisations with long decision paths;
149;Weak access to customer needs and / or (internal) business information;to many people in the communication line, RE engineers have no direwct access to customer;
179;Weak access to customer needs and / or (internal) business information;Do not provide enough information;
378;Weak access to customer needs and / or (internal) business information;too little focus on understanding the complete picture;
512;Weak access to customer needs and / or (internal) business information;not enough education on importance of committment on all sides and contact between the two;
795;Weak access to customer needs and / or (internal) business information;Customer provides little in the way of useful contact points other than a single person, would be great except that single person doesn't use the software;
917;Weak access to customer needs and / or (internal) business information;insufficient time for gathering requirements, insufficient customer time, lack of customer commitment for approval of requirements / versions of the system;
1055;Weak access to customer needs and / or (internal) business information;busy customers and users;
1065;Weak access to customer needs and / or (internal) business information;Lack of Application Lifecycle Management;
1079;Weak access to customer needs and / or (internal) business information;Interviews with end users and not the key users;
1105;Weak access to customer needs and / or (internal) business information;Customer keeps knowledge;
1194;Weak access to customer needs and / or (internal) business information;Distinguishing between the requirement and the actual need often allows the team to address better solutions.;
1229;Weak access to customer needs and / or (internal) business information;The client does not feel that the system is built for his needs and sees himself as not part of the project;
1617;Weak access to customer needs and / or (internal) business information;Customer is not interested, not willing to share business critical information;
144;Weak knowledge about customer's application domain;each of our customers has a unique business interest, and we are consultants so every time we go into a client organization, we have to very quickly learn about their industry and domain (which takes time and can cause some delays);
170;Weak knowledge about customer's application domain;no communication with customer;
230;Weak knowledge about customer's application domain;As an engineer, I don't always deal with the customer and when I receive the requirements, I do not know why is the requirement even needed. Knowing a little more background always helps me create better implementation.;
304;Weak knowledge about customer's application domain;"staff turnover; consultancy culture";
461;Weak knowledge about customer's application domain;Customer does not provide complete information;
570;Weak knowledge about customer's application domain;part of the organization has never visited a customer;
637;Weak knowledge about customer's application domain;Consultancy company with not enough experience from the industry.;
868;Weak knowledge about customer's application domain;lack of time, lack of experience;
879;Weak knowledge about customer's application domain;Business Analyst not immersed in the client application.;
1039;Weak knowledge about customer's application domain;It occurs when the project is from a new domain for the team;
1343;Weak knowledge about customer's application domain;THEY DO NOT MASTER THE SYSTEM CREATED AND THEY HAVE PROBLEMS WITH IT ;
1624;Weak knowledge about customer's application domain;Some of the features implemented are not necessarily customers number one focus;
1705;Weak knowledge about customer's application domain;Ambiguous REQUIREMENTS;
1804;Weak knowledge about customer's application domain;Lack of Communication between customer and Developers or Architects;
1911;Weak knowledge about customer's application domain;Lack of introductory documentation;
163;Weak relationship between customer and project lead;Project lead tells customer one thing, does the opposite. ;
573;Weak relationship between customer and project lead;Makes it difficult for project team to successfully implement solutions if leadership is weak;
768;Weak relationship between customer and project lead;no rapport building;
1339;Weak relationship between customer and project lead;BREACH IN WORK SCHEDULES;
1354;Weak relationship between customer and project lead;WEAK RELATIONSHIP BETWEEN THE PROJECT LEADER AND THE CUSTOMER;
1717;Weak relationship between customer and project lead;POOR INFORMATION PROVIDED BY THE CUSTOMER;
