lfdn;problem;response
864;Communication flaws between the project and the customer;Clients are usually unavailable to interviews and have difficulties in explaining the processes
870;Communication flaws between the project and the customer;unprepared Business Analyst 
876;Communication flaws between the project and the customer;the customer takes long to track project
880;Communication flaws between the project and the customer;Client does not know the whole business process.
917;Communication flaws between the project and the customer;Insufficient time for requirements gathering, insufficient client time, lack of commitment on the part of the client for the approval of system requirements / versions
918;Communication flaws between the project and the customer;"Customer is unclear on his needs;"
924;Communication flaws between the project and the customer;"interest of the team; team organization"
929;Communication flaws between the project and the customer;Problems in the communication
930;Communication flaws between the project and the customer;The client is not available whenever it is needed
933;Communication flaws between the project and the customer;Customer does not know exactly what he wants.
945;Communication flaws between the project and the customer;Low formalization in the communication about requirements
947;Communication flaws between the project and the customer;customers sometimes misunderstand developers and vice versa
956;Communication flaws between the project and the customer;NP
968;Communication flaws between the project and the customer;The client having enough time for the product
985;Communication flaws between the project and the customer;Having no customers, we had to communicate with users.
1006;Communication flaws between the project and the customer;The customer does not detail what he really wants
1021;Communication flaws between the project and the customer;"incomplete data; work disorder; poor communication from the manager"
1031;Communication flaws between the project and the customer;Lack of customer participation
1033;Communication flaws between the project and the customer;Agile is about collectiveness, the team must use the proper techniques to establish this communication and the client must have representatives with time for it
1039;Communication flaws between the project and the customer;Lack of availability of the customer
1066;Communication flaws between the project and the customer;concurrent engineering of implementation in parallel with requirements development
1076;Communication flaws between the project and the customer;Both parties making decisions
1082;Communication flaws between the project and the customer;It is not always possible to have a close and continuous contact with customer needs
1091;Communication flaws between the project and the customer;documentation and internal processes problem 
1100;Communication flaws between the project and the customer;Difficult to engage the customer in the project
1101;Communication flaws between the project and the customer;Profile of the involved parties 
1111;Communication flaws between the project and the customer;unclear rules definition
1114;Communication flaws between the project and the customer;Customer not interested in participating in the project.
1118;Communication flaws between the project and the customer;Agenda, hard to find time for meetings
1126;Communication flaws between the project and the customer;Lack of definition of a formal and regular communication model between those involved in the project
1159;Communication flaws between the project and the customer;CLIENT'S COMMUNICATION FAILURES
1168;Communication flaws between the project and the customer;Disinterest by some parties
1171;Communication flaws between the project and the customer;Lack of customer involvement in the project
1187;Communication flaws between the project and the customer;There are too many heterogeneous customers
1189;Communication flaws between the project and the customer;"Lack of a ""common dictionary"""
1229;Communication flaws between the project and the customer;There are no periodic meetings to show the client the real progress, listen to their concerns and show the difficulties that could exist in the advance
1239;Communication flaws between the project and the customer;several levels of hierarchy between project and customer
1262;Communication flaws between the project and the customer;Lack of Project Communication plan
1279;Communication flaws between the project and the customer;Our customers are not typically savvy with technology so it can be difficult to determine what they really need
1283;Communication flaws between the project and the customer;Innappropriate people used as stakeholders, lack of knowledge
1288;Communication flaws between the project and the customer;detailed feedback is missing
1316;Communication flaws between the project and the customer;customers too far or unknown
1331;Communication flaws between the project and the customer;Lack of detail, laziness, application of common sense
1339;Communication flaws between the project and the customer;Resistance to change
1340;Communication flaws between the project and the customer;Inefficient organization
1341;Communication flaws between the project and the customer;THE CLIENT DOES NOT KNOW THE TECHNOLOGY
1343;Communication flaws between the project and the customer;CUSTOMERS DO NOT KNOW WHAT THEY SPECIFICALLY WANT
1344;Communication flaws between the project and the customer;LACK OF COMMUNICATION
1347;Communication flaws between the project and the customer;There is no direct and frequent communication
1350;Communication flaws between the project and the customer;LACK OF KNOWLEDGE OF BUSINESS CUSTOMER
1351;Communication flaws between the project and the customer;Unsatisfied CUSTOMER
1354;Communication flaws between the project and the customer;Poor communication
1355;Communication flaws between the project and the customer;Lack of communication and lack of interest BY CUSTOMER
1357;Communication flaws between the project and the customer;Customer does not seek a workable solution
1402;Communication flaws between the project and the customer;Communication skill sets weak in sales/marketing
1413;Communication flaws between the project and the customer;The client does not know about development
1415;Communication flaws between the project and the customer;LACK OF ABILITY TO EXPRESS IDEAS BY THE CUSTOMER
1416;Communication flaws between the project and the customer;BAD COMMUNICATION
1419;Communication flaws between the project and the customer;Terminological problems
1424;Communication flaws between the project and the customer;Resources usability
1441;Communication flaws between the project and the customer;too much workload
1454;Communication flaws between the project and the customer;Miscommunication between team members
1457;Communication flaws between the project and the customer;Lack of customer knowledge in the solution
1459;Communication flaws between the project and the customer;Lack of communication between the project and the customer
1482;Communication flaws between the project and the customer;BAD COMMUNICATION
1483;Communication flaws between the project and the customer;change resistance
1526;Communication flaws between the project and the customer;Weak domain knowledge
1526;Communication flaws between the project and the customer;Weak domain knowledge
1542;Communication flaws between the project and the customer;I refer to customer as internal stakeholders: they have different ideas of what the system should and how, without really finding the need behind, also without considering that it is only 1 development team for at least 4 business units
1617;Communication flaws between the project and the customer;Project sponsor and project requestor have different demands and are overloaded 
1618;Communication flaws between the project and the customer;This results in not always delivering the feature or product that adresses the biggest need for the most customers.
1624;Communication flaws between the project and the customer;not enough clarity on what the customer needs
1650;Communication flaws between the project and the customer;The interface between them
1650;Communication flaws between the project and the customer;The interface between them
1663;Communication flaws between the project and the customer;tries to save face/ Yes  answer to please the customer
1669;Communication flaws between the project and the customer;INFORMATION HIDDEN BY THE CUSTOMER
1675;Communication flaws between the project and the customer;Overloaded customer liaison 
1700;Communication flaws between the project and the customer;When the client knows what he/she wants
1742;Communication flaws between the project and the customer;none communicated preassumptions regarding existing mutual understanding
1756;Communication flaws between the project and the customer;Different backgrounds and mindsets, not perfect understandinig of the problem domain
1805;Communication flaws between the project and the customer;Customer not used to formalize requirements
1828;Communication flaws between the project and the customer;difficult access from the customer side
1831;Communication flaws between the project and the customer;Sometimes clients say they did not receive the report when we have evidence that they have received it...
1840;Communication flaws between the project and the customer;same as the first
1844;Communication flaws between the project and the customer;Little customer availability
1844;Communication flaws between the project and the customer;The customer has lack of time
1849;Communication flaws between the project and the customer;"Lack of involvement from the end-user; bad communication practices from the product owner"
1896;Communication flaws between the project and the customer;Customer is mostly non tech-savvy
1961;Communication flaws between the project and the customer;lack of communication
1965;Communication flaws between the project and the customer;Enough client technical knowledge
1969;Communication flaws between the project and the customer;Organizational.  Someone in the managament chain doesn't see this as important.
58;Communication flaws within the project team;mistrust
82;Communication flaws within the project team;It effects to close on project on time. 
114;Communication flaws within the project team;lack of information about writing requirements on system and sw level
149;Communication flaws within the project team;Undersetimation of communication needs
150;Communication flaws within the project team;Individual resources and differences in work ethic
163;Communication flaws within the project team;misogynistic development team
165;Communication flaws within the project team;lack of methodology for collecting requirements
167;Communication flaws within the project team;Leadership
168;Communication flaws within the project team;No one wants to look stupid, so people refrain from asking questions.
205;Communication flaws within the project team;silo organizataion
215;Communication flaws within the project team;different parties involved, separated team locations
231;Communication flaws within the project team;Immature organizational culture
249;Communication flaws within the project team;"Lots of egos; Each member comes from a different background"
278;Communication flaws within the project team;lack of leadership capability
297;Communication flaws within the project team;RE is not naturally understood by all.
330;Communication flaws within the project team;Each person on the team has a role, experience and knowledge regarding the business
387;Communication flaws within the project team;Different goals of  project manager and test manager
444;Communication flaws within the project team;Information is managed through different channels and it isn't documented
446;Communication flaws within the project team;inefficient work and unecessary coorination efforts
467;Communication flaws within the project team;lack of forums to talk and communicate problems and others
468;Communication flaws within the project team;Knowledge gap between technical people and non-technical people
479;Communication flaws within the project team;Terminology
482;Communication flaws within the project team;Sometimes proactive communication is missing 
485;Communication flaws within the project team;It seems to have clear communication, but is not checking and there are always discrepancies at the end
489;Communication flaws within the project team;not enough time
518;Communication flaws within the project team;Sometimes people forget to mention some requirements from the client
524;Communication flaws within the project team;He/She do not spend much time to communicating, and channels are not adequate
534;Communication flaws within the project team;"Conflict of interests; Tell me how you measure me and I'll tell you how I behave"
545;Communication flaws within the project team;culture
570;Communication flaws within the project team;"cultural differences; language differences; geographical separation; getting the right information to everybody that needs it"
573;Communication flaws within the project team;Lack of analysis skills does not sufficiently support requirements gathering
586;Communication flaws within the project team;X thougt Y knew or thouhgt Y should know instead of asking 
661;Communication flaws within the project team;Inadequate coordinator. People coming in for shifts or short periods.
684;Communication flaws within the project team;Things can be built in the wrong way
694;Communication flaws within the project team;"lack of communication skills ; lack of soft skills in general that affect team interactions"
719;Communication flaws within the project team;He/She assumes an interpretation as correct, but not validate the information
722;Communication flaws within the project team;Not proficient team lead work
723;Communication flaws within the project team;lack of Communication
768;Communication flaws within the project team;not talking or practicing daily meetings
786;Communication flaws within the project team;Difficult to work as a team.
825;Communication flaws within the project team;"No one common understanding; Co-location was a struggle for some members; Inconsistent leadership; Frequent change of team members"
868;Communication flaws within the project team;lack of models and techniques that increase the effectiveness of communication
870;Communication flaws within the project team;The team has lack of experience
876;Communication flaws within the project team;lack of knowledge of developers in the company's business process
901;Communication flaws within the project team;"The team is physically separared; the requirements analyst is not part of the development team"
924;Communication flaws within the project team;"team concern; team organization"
928;Communication flaws within the project team;Failures in requirements eventually lead to problems throughout the whole production chain.
929;Communication flaws within the project team;leadership deficiencies
931;Communication flaws within the project team;Because we are talking about human beings, sometimes they can not understand the request, however this problem is soon solved when one starts working on the project due to prototyping
956;Communication flaws within the project team;NP
984;Communication flaws within the project team;Different perspectives and goals
985;Communication flaws within the project team;First time working together
990;Communication flaws within the project team;Numerous demand from other systems
1006;Communication flaws within the project team;Lack of technical meetings
1012;Communication flaws within the project team;Testing gaps
1014;Communication flaws within the project team;less communication
1017;Communication flaws within the project team;weak documentation or badly organized/accessible documentation
1033;Communication flaws within the project team;The team must have covenants or combinations in the use of a methodology that fosters communication and proactiveness
1039;Communication flaws within the project team;misunderstanding due to the problem domain
1055;Communication flaws within the project team;some developers missing meetings
1062;Communication flaws within the project team;different nationality
1064;Communication flaws within the project team;Lack of requirement engineering competence:Lack of project management competence
1066;Communication flaws within the project team;concurrent engineering of implementation in parallel with requirements development
1076;Communication flaws within the project team;The detail of requirements
1101;Communication flaws within the project team;little interaction within the team
1118;Communication flaws within the project team;Once more, language is often the problem
1124;Communication flaws within the project team;Company culture and people from different ethnicities.
1126;Communication flaws within the project team;Lack of definition of a formal model and regular communication between those involved in the project
1139;Communication flaws within the project team;Developers are under pressure
1141;Communication flaws within the project team;weak project organisation
1221;Communication flaws within the project team;the client does not detail the whole process. sometimes it is necessary to observe
1224;Communication flaws within the project team;Little time spent for elicitation
1229;Communication flaws within the project team;The team does not generate communication's dynamics
1238;Communication flaws within the project team;Different autonomous teams that do not share learnings
1239;Communication flaws within the project team;time pressure
1288;Communication flaws within the project team;information comes to late
1291;Communication flaws within the project team;Language barrier
1339;Communication flaws within the project team;Conflict with daily activities
1340;Communication flaws within the project team;Bad atmosphere in the group
1341;Communication flaws within the project team;The customer has another career
1343;Communication flaws within the project team;Miscommunication between team leader and customer
1344;Communication flaws within the project team;Changes in requirements
1350;Communication flaws within the project team;Bad relationship between team members
1354;Communication flaws within the project team;Insufficient support by project leader
1357;Communication flaws within the project team;Poor planning
1406;Communication flaws within the project team;Many projects / tasks
1411;Communication flaws within the project team;language barrier, cultural differences
1413;Communication flaws within the project team;Customer has another profession
1415;Communication flaws within the project team;Customers do not know what they want
1419;Communication flaws within the project team;LACK OF COMMUNICATION
1441;Communication flaws within the project team;too much workload
1449;Communication flaws within the project team;"misunderstanding; timing problem"
1454;Communication flaws within the project team;Poor relationship between client and project leader
1458;Communication flaws within the project team;THE TEAM IS CONFORMED BY technicians from different RESPONDING TO DIFFERENT NEEDS AND NO OTHER COMMUNICATION
1459;Communication flaws within the project team;Miscommunication, problems during team conformation
1482;Communication flaws within the project team;Bad relationship between project members
1483;Communication flaws within the project team;Fear of losing status / position
1484;Communication flaws within the project team;Problems caused by unknown application terms
1485;Communication flaws within the project team;Weak access over the application domain
1617;Communication flaws within the project team;Siloed teams, sitting in different areas, no common goal and purpose
1620;Communication flaws within the project team;Different countries and working times - this is generally not an issue
1663;Communication flaws within the project team;offshore team members don't understand english well enough/lost in translation/tried to save face
1669;Communication flaws within the project team;Ambiguous REQUIREMENTS INCONSISTENT
1675;Communication flaws within the project team;Personality differences
1698;Communication flaws within the project team;LACK OF COMMUNICATION
1742;Communication flaws within the project team;forgotten/noneexisting communication regarding project related information or changes
1756;Communication flaws within the project team;Different backgrounds and mindsets, not perfect understandinig of the solution domain
1810;Communication flaws within the project team;Different personalities with different skill levels
1820;Communication flaws within the project team;Little empathy in the team
1840;Communication flaws within the project team;"several team members do not work full time and do not have to spend time on communication; understanding of different skills "
1894;Communication flaws within the project team;Different technical skills lead to a different language and different understandings of what is requested or required
1918;Communication flaws within the project team;organizational problems of the teams.
1961;Communication flaws within the project team;generally people not doing what they say they are going to do
1965;Communication flaws within the project team;Multiple people to work simultaneously / very technical profile of the people of the technology provider of the project team
1969;Communication flaws within the project team;Poor management within the team. I find most project managers are not technical so they are not competent to manage a technical team.
30;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;We sometimes implement extra functions in research projects.
106;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;No quality validation
147;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Roles and responsibilities are unclear
165;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time elapse between specification writing and commissioning (several years)
168;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The project design is ambitious to the point that it neglects implementation details.
199;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;People who do not believe in process try to find ways around the process 
208;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;see timeboxing
213;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Probably the reason is a missing understanding of technical realization
258;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;need to assign budgets for too long periods (old way of thinking), rather volatile and unclear ideas of what customer wants and needs so prototypes needed to dicuss and go further
263;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"corrupt processes; resistance to change"
313;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Although all team members are meant to review requirements, time pressure means some team members do not consider them properly.
425;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Customer does not get what he need.
442;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;risk aversion caused by patterns of business: reputational risk is very careful
506;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;technique challenge
570;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;same process for (almost) all development regardless of class of requirement (operational exellence / technology leaderhip / customer intemacy)
586;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;new areas, new types of solutions, new types of business lots of unknown factors
649;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time and cost restraints
847;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Unsuitable methodology for projects 
923;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;pseudo technical knowledge of the Customer
984;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Regulatory and mainly resources for innovation
1031;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;It is needed to innovate, but this is not easy in health.
1080;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Culture is formed by people who perform the same process for years and the change faces the disinterest in providing reliable instructions.
1161;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;They want to automate everything
1167;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The product owner does not provide enough support to clarify requirements
1207;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;very fast moving organisation and domain in general
1296;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Natural tension there
1347;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"Solutions must take into account the product as a whole; the customer experience should be the best possible; you can not limit the customer scenarios"
1353;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Technical limitations are not clarified during elicitation
1384;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Different problems must focus on different aspects. A query from the web should focus on performance, and other less crowded on disk space. Not to differentiate these solutions leads to want simple solutions that lower perfoman
1455;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Switching Goals
1467;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;insufficient effort put in for the requirement analysis
1486;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Lean startup means throwing solutions on a problem you don't know how to fix, so writing formal requirements is a distraction to playing around with different solutions.
1624;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;management needs to approve
1676;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;our customers (eg developers) want something  now , which forces us to timebox other tasks and come back at a later time.
1690;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The customer does not know what he/she wants
1697;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Some time the requirements are not specified enough and may cause wrong developments
1705;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Changing or erroneous requirements
1963;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;x
81;Gold plating (implementation of features without corresponding requirements);Providers solution with focus on specific customer rather than system-wide requirements
146;Gold plating (implementation of features without corresponding requirements);bad cooperation, no requirements engineer in the team, they think it is not needed in agile development. 
182;Gold plating (implementation of features without corresponding requirements);Upgrade required 
188;Gold plating (implementation of features without corresponding requirements);The fast moving market in which the Product operates, requires fast changes.
215;Gold plating (implementation of features without corresponding requirements);individuals have stronger voice and push their needs over other stakeholders, missing understanding of (financial / time) impact of individual requests
217;Gold plating (implementation of features without corresponding requirements);poor skill
259;Gold plating (implementation of features without corresponding requirements);waste of time
313;Gold plating (implementation of features without corresponding requirements);Software developers sometimes insert a function they think is useful but which the customer does not want.  Very difficult in requirements to anticipate and specify everything that the product must NOT do.
378;Gold plating (implementation of features without corresponding requirements);missing assignement of expected business value to requirement
384;Gold plating (implementation of features without corresponding requirements);"customer does not understand orginal scope and wants to cover all possible business case exceptions; not willing to adjust business processes to fit the software"
393;Gold plating (implementation of features without corresponding requirements);too many levels between end users and developers
467;Gold plating (implementation of features without corresponding requirements);"lack of control of such problems; lack of constant validation by the client in order to not deploy more than necessary"
549;Gold plating (implementation of features without corresponding requirements);Change requests often crop up and sometimes if high priority or you have time constraints they don't get detailed fully/properly
572;Gold plating (implementation of features without corresponding requirements);requirements have been verbalised and not documented 
640;Gold plating (implementation of features without corresponding requirements);"Extra effort required to implement features that the client simply did not request; implementation is beyond customer requirements"
649;Gold plating (implementation of features without corresponding requirements);unrealistic expectations
661;Gold plating (implementation of features without corresponding requirements);It is a general characteristic of the client
774;Gold plating (implementation of features without corresponding requirements);Customer sometime do not under stand the problem they trying to solve as well.lack of BA
847;Gold plating (implementation of features without corresponding requirements);No overall product owner/manager to push back on unnecessary requirements 
864;Gold plating (implementation of features without corresponding requirements);unexpected demands made by the upper management
896;Gold plating (implementation of features without corresponding requirements);not request features Implementation
909;Gold plating (implementation of features without corresponding requirements);Requests are often parallel and touched by [people with] profiles that do not have sufficient technical and abstractions to identify, specify and manage requirements.
916;Gold plating (implementation of features without corresponding requirements);features Implementation  without requirements elicitation
937;Gold plating (implementation of features without corresponding requirements);once you give the small finger...
959;Gold plating (implementation of features without corresponding requirements);To meet an urgent request, sometimes we performed implementations that way (fire-fighting)
1011;Gold plating (implementation of features without corresponding requirements);Individual wishes of employees on the customer side.
1031;Gold plating (implementation of features without corresponding requirements);features are implemented to amortize on various projects or to create a customer need.
1033;Gold plating (implementation of features without corresponding requirements);It's a great immediate and legacy waste, the overload with what should not be being done, the focus is on value and real needs
1062;Gold plating (implementation of features without corresponding requirements);spend less time in eliciting the requirements
1163;Gold plating (implementation of features without corresponding requirements);Programming before stating the problem
1171;Gold plating (implementation of features without corresponding requirements);Project manager with lack of training
1207;Gold plating (implementation of features without corresponding requirements);features implemented are not aligning with actual expectations
1327;Gold plating (implementation of features without corresponding requirements);Customer very often specifies to many requirements insted of think lean, start with a simple system and extend it when having more experiences.
1344;Gold plating (implementation of features without corresponding requirements);Little knowledge of the process
1350;Gold plating (implementation of features without corresponding requirements);LACK OF KNOWLEDGE OF CUSTOMER'S EMPLOYEES
1356;Gold plating (implementation of features without corresponding requirements);The client hides information
1357;Gold plating (implementation of features without corresponding requirements);DELAYED DELIVERY OF INPUT BY CUSTOMER
1384;Gold plating (implementation of features without corresponding requirements);Many orders are made at the same time, which causes that the implementation in production does not follow an adequate order. Many times a development is made based on a previous order, which ends up being development later.
1422;Gold plating (implementation of features without corresponding requirements);Unclear functional requirements
1424;Gold plating (implementation of features without corresponding requirements);Maintenance towards the client
1433;Gold plating (implementation of features without corresponding requirements);Bad work's organization
1449;Gold plating (implementation of features without corresponding requirements);timing problem
1467;Gold plating (implementation of features without corresponding requirements);insufficient discussion on how requirement should be solved
1526;Gold plating (implementation of features without corresponding requirements);Over eagerness to please
1620;Gold plating (implementation of features without corresponding requirements);"Developers trying to add their individual flair for personal reasons; when sponsored by lead trying to go beyond what project requires"
1651;Gold plating (implementation of features without corresponding requirements);Building a scalable system before validating the customer needs
1676;Gold plating (implementation of features without corresponding requirements);the team easily gets into a rabbit hole when a small tasks requires a bunch of other work in it's dependencies because we had to deliver another task  yesterday 
1759;Gold plating (implementation of features without corresponding requirements);informal nature of the project
1909;Gold plating (implementation of features without corresponding requirements);Lack of methodology
1941;Gold plating (implementation of features without corresponding requirements);Lack of time
1969;Gold plating (implementation of features without corresponding requirements);Developers implementing  cool  features without regard to the bigger picture.
58;Incomplete or hidden requirements;"business as usual; always worked this way"
91;Incomplete or hidden requirements;few time for elaboration
93;Incomplete or hidden requirements;"not able te see the total process; history of former system; "
119;Incomplete or hidden requirements;customer unaware of design issues
126;Incomplete or hidden requirements;Lack of product dev knowledge
129;Incomplete or hidden requirements;Insufficient probing to draw out these requirements
146;Incomplete or hidden requirements;bad communication 
147;Incomplete or hidden requirements;Project goal is unclear
150;Incomplete or hidden requirements;Not enough time and support from the vendor to explore and document all the detailed system requirements 
