lfdn;v_169;tag
1039;Because we use SCRUM and with the backlog setting we have a definition of the tasks to be performed;
1051;Overall good quality and good representation of system needs to meet stakeholders' expectations;
1055;Customer and users are highly involved on the product definition and elicitation. The system is tested at every sprint and every release is validated by the users;
1062;No real practice of requirement validation and requirement champagne;
1091;Because the result is very good, the satisfaction of our customer is a good indicator and the assertiveness indicator regarding business requirements are within the goal we set ourselves of achieve.;
1100;With a lean documentation, we get good rates of acceptance and rework.;
1118;Because we use a dynamic (aka agile) approach, frequently syncing the development with a new and clearer understanding of requirements.;
1126;Due to the success achieved in our last three large projects.;
1139;An agile process in close cooperation with the customer is much more effective than a traditional process.;
1140;because it works and is not of too much pain for all project members;
1161;PERFORM meetings with ALL INVOLVED AREAS, some contributions in requirements meetings, until COMPLY WITH ALL POINTS REQUIRED.;
1163;Because we use the correct techniques to elicit them, but I would like if it could be in a full agile project. I don't like to be updating the sprint backlog during the sprint because we never end the sprint with all the requirements completed.;
1164;Because it is performed in a quick manner and with satisfactory results;
1171;Because of the results obtained at the end of each iteration;
1172;Because the final product performs as desired;
1188;Because it fulfills the goals it proposes;
1189;Because it adequately contributes to the execution;
1194;We work with agile models. The changes are welcome (and necessary). We have automated traceability.;
1200;Being a small team is efficient and development was carried out;
1220;Because of the experience we maintain documentation of use cases, state ordinances and have opted for an interpreted language like PHP to generate simulations that have made requirements elicitation simple;
1222;because we cover most of the functional requirements of the system;
1227;It has been widely discussed in software engineering;
1228;meets the company definition;
1229;The customer knows that we are building software that does what he wants in an efficient manner.;
1255;With each interaction, we are improving and especially the team is adhering to this need for evolution of our product and hence its success in all aspects.;
1266;Because of my project is based on Brazilian and international safety and operation rules, which make it easier to obtain requirements.;
1283;It allows to rapidly transition to conceptual modelling, code generation and rapid prototyping;
1289;Becasue all team members are documenting using same rules. Also developers are educated in reading the information in right way. Best practice usng word like shall and must is also established. Requirements with releated features are driving the implementation tasks;
1296;It is lightweight but effective enough;
1316;Our systems engineering model for our SW products includes purified requirements which are automatically transferred to the test management system (silk central);
1327;We are satisfied or very satisfied in our projects. We are working in waterfall and agile methodology. We have a company process, which has to be used and we train our staff in RE.;
1331;Because our requirements come from an existing system. We were able to cover the current system and still identify new requirements to improve the system. The knowledge of the business is with the client, on our side we have the questions. Thus, new requirements and / or changes in requirements arise from needs identified throughout the project or that have been ignored by the client at the beginning of the project.;
1339;BECAUSE it covers customer needs and contract clauses;
1343;The final result was the expected by OUR CLIENTS and they got the expected product, ACCOMPANIED BY HIGH DEGREE OF SATISFACTION;
1344;Because through detailed documentation I obtaniened good results and applying REQUIREMENTS ENGINEERING HAS ALLOWED ME TO COMPLY WITH FEATURES REQUIRed by the CUSTOMER;
1348;I am satisfied BECAUSE WE can GET in a better way the REQUIREMENTS proposed BY THE CUSTOMER by proper communication;
1350;They TAKE INTO ACCOUNT ALL the aspects RELATED TO REQUIREMENTS ASKed by THE CUSTOMER FOR its company.;
1351;BECAUSE THE PROJECT MANAGER Socialize with EACH OF the COLLEAGUES in THAT WAY EACH will apply them CORRECTLY IN EACH PROJECT AREAS.;
1353;PROBLEMS EXIST IN SOME PROJECTS BUT THEY ARE OFTEN solvable WITH change management;
1354;It gives you the opportunity to quickly change something that is right or wrong. Pivoting CHANGES quickly in the discourse. We can change the project scope.;
1356;because of socializing teammembers and THE CUSTOMER APPLies this IN his AREAS;
1357;An absolut elciitation OF REQUIREMENTS is completed, SO YOU GET A PROPER AND EFFICIENT PLANNING. REQUIREMENTS ARE OBTAINED DIRECTLY FROM THE SOURCE;
1358;OBJECTIVES are met applying METHODS AND PRINCIPLES CONTAINED IN SOFTWARE ENGINEERING;
1384;at the stage of analysis, carried out by the responsible with the customer, a detailed specification is generated contemplating business rules, development is simplified with a clear undestending of the objectives.;
1398;Because thanks to the forms we have clear goals and estimated time quite realistic;
1402;Highly skilled team members with personal buy-in to project goals, experience requirements specialists on team;
1406;Project works and is on track, but improvements concerning earlier requirements engineering could be implemented;
1411;requirements clarification, prioritization and alignment of priorities with stakeholders works good  Concept of using both Jira/Confluence allows both flexibility and the necessary level of documentation.;
1413;I DO NOT HAVE PROBLEMS WITH PRODUCT DEVELOPMENT;
1416;80% satisfaction;
1423;He is interested in MY PERSONAL expectation and REQUIREMENTS ENGINEERING experience;
1424;BECAUSE the RESEARCH is oriented towards MY requirements engineering PROBLEMS;
1426;Almost every project member has a say in requirements engineering, so conflicts can be adressed and cleared early.;
1433; A GOOD BUSINESS ANALYST AND he has AT LEAST WEEKLY MEETING WITH THE CUSTOMER.;
1441;It works well in sense of completness.;
1457;because REQUIREMENTS helps DEFINING the PROJECT SCOPE and estimate the SCHEDULES TO BE ABLE TO DELIVER CUSTOMER;
1458;CHoOSE SATISFIED becasue he initially HELD MEETINGS IDEAS TO gather REQUIREMENTS ideas WHICH MAY BE USED TO to start the project.;
1467;It is flexible enough but yet able to manage the requirements churns.;
1474;It's done in a planned manner;
1484;Without TIMELY changes. UNAMBIGUOUS requirements elicited. requirements elicited CORRECTLY;
1485;REQUIREMENTS CLEARLY elicited WITHOUT AMBIGUOUity without timely changes;
1526;customers are happy;
1618;We are constantly refining and iterating on this process which ensures we have a good flow of communication.;
1620;From a business perspective requirements engineering is driven heavily by customer interaction. This method seems to work well for the business. ;
1624;We have been following this process for more than couple of years and have been fairly hitting our timelines most of the times;
1645;because we do often mini-meetings with the client face to face to confirm that requirement is what he wants and once implemented we show directely to get a very quick feedback;
1650;Everyone has ownership and contributes critically. Requirements/specification get created very close to their implementation so are able to be fluid.;
1651;There are areas for improvement around adjusting the agreed architecture to be broken down into in smaller releasable components of software. We are working on changing the think of big release and a lot more smaller interactions that may involve refactor existing software. The focus is getting the software into customers hands to get real feedback. In test this using wireframes to ensure that we validate a solution before committing engineering resource.;
1663;"the Business Analysts gathering the requirements are quite dependable and knowledgeable; they take responsibility and ownership of the work.";
1667;Ease of interaction and use.;
1668;BECAUSE IT IS A STARTING POINT FOR planning ACTIVITIES, basically in time and costs estimation.;
1669;BECAUSE YOU PROPER elicit REQUIREMENTS AT INITIAL STAGES, which allows UPDATING REQUIREMENTS withouth problems.;
1670;STARTING POINT FOR ACTIVITIES;
1675;It provides a good level of guidance without being prescriptive, we can adjust the requirements as the project evolves.;
1676;my team works on a lot of small projects and tasks, so we implemented very agile methods so we can plan and deliver on requests. So far the process seems to be going fine.;
1695;HIGH DEGREE OF SATISFACTION of the CUSTOMERS and the team.;
1697;They are not very strict and agile, but they give the hability to newcomers get along with the project and revisiting the requirements much easier. Also they make sure the client ideias are in line with the developments, and the all that are envolved in the development can be distributed.;
1699;because the different PROCEDURES we use to FIND and get the REQUIREMENTS ;
1703;we HAVE NOT HAD problems in the software BASELINE;
1705;the VALUE ADDED in the correct REQUIREMENTS elicitation is to maintain active communication with our clients, meeting deadlines and HIGH PERFORMANCE techniques.;
1715;Because you have a good handle on requirements gathering.;
1717;THE NEEDS OF THE CLIENT / USER are known AND BASED ON THAT DEVELOPMENTS are made;
1723;THE RESULTS ACHIEVED WITH PROJECTS ARE the EXPECTED, BUT we CAN IMPROVE them MORE;
1727;because of the RESULTS;
1741;Stakeholders are happy;
1742;We have a good relation with the customer and the requirements and backlog are living items during the project and changes are communicated, prioritized and decided by product owner;
1753;Our requirement handling (and other processes) are a result from many years of agile working in the project. Our requirement handling (and other processes), are therefore refined continously in each sprint (at sprint retrospective), and is therefore quite effective now. We are able to specify, communicate and test our requirements continously, automatically and to our customers satisfaction, which we feel is satisfying.;
1756;Yes. It's not perfect but it works.;
1759;It's a small and informal project, so an informal backlog works well;
1761;We do small iterations and prototyping, this lower the risk and cost ;
1812;The requirements are captured early and are considered flexible thus changeable except where it is agreed to be a major change - appraoch works well;
1820;The only downside is the amount of bureaucracy;
1842;"I chose the option ""satisfied"" and not ""very satisfied"" as the question indicates. I am satisfied because the documentation / management of requirements is done in a very light, allowing the team to not waste too much time with the requirements and spend more time implementing";
1844;Because there is a methodology that is followed by all, which allows the parties to have a better understanding.;
1849;We have good relationships with the end-users and we validate our deliverables with them at each sprint review.;
1861;Our project is customer facing and is metrics driven, all features are tested and decision to ship them is driven by growing metrics.;
1894;It has produced good results, at an interesting pace.;
1917;We believe there is always space to improve.;
1918;The features are well documented and estimated and always up-to-date. It is possible to trace from the source to the implementation details;
1941;It works well and we have not had problems;
1957;It enables us to plan;
1963;x;
1969;As an experienced consultant, I have the luxury of being able to choose my projects carefully.  When I start a project I clearly state what I believe to be the minimum level of requirements engineering and specification.  If the customer exceeds my expectations, no problem.  If it does not, I work hard to convince them to improve their requirements elicitation processes and I put a lot of energy into helping them.  If after a reasonable period (usually a few months) they haven't made movement in a positive direction, I leave the project.  In my experience, the key cause of project failure is poorly defined requirements.  I no longer  need the experience  so I do not stay with projects that have a low probability of success.;
