lfdn;v_248;v_278;tag
1620;Insufficient support by project lead;We have a lot of turnover at our company so sometimes having project leads take ownership is an institutional challenge.;
1698;Insufficient support by project lead;Poor support;
182;Missing traceability;Not having a disciplined approach ;
230;Missing traceability;Many times, requirements are ported from previous projects and sometimes, the requirements cannot be traced to features or statement of work. Many times, it turns out the requirement is an internal quality the product should have. ;
297;Missing traceability;Missing tools;
524;Missing traceability;The specification is not performed with this characteristic in mind;
572;Missing traceability;traceability is siloed;
864;Missing traceability;Poor documentation by the development team;
959;Missing traceability;We do not use tools to maintain the traceability matrix;
984;Missing traceability;Missing tool support;
987;Missing traceability;more time required;
1010;Missing traceability;imporper use of tools;
1065;Missing traceability;Lack of RE Tool;
1080;Missing traceability;There is no change management;
1360;Missing traceability;The client changes his opinion;
1435;Missing traceability;Incomplete requirements;
1697;Missing traceability;The software has many teams envolved and sometimes all the parts don't document the changes well;
76;Moving targets (changing goals, business processes and / or requirements);Lack of corporate maturity in defining its vision;
165;Moving targets (changing goals, business processes and / or requirements);lack of concerns of project stakeholders w.r.t. good project management practices;
205;Moving targets (changing goals, business processes and / or requirements);"academic freedom; lack of accountability; no ROI analysis required";
291;Moving targets (changing goals, business processes and / or requirements);Lack of vision;
295;Moving targets (changing goals, business processes and / or requirements);Changing phases of supported programme;
355;Moving targets (changing goals, business processes and / or requirements);Customer want to implement new functions, last not least it is critical because we have not enough team members;
377;Moving targets (changing goals, business processes and / or requirements);Competing business priorities resulting in project changes;
442;Moving targets (changing goals, business processes and / or requirements);"the regulator; the competitive pressure has an impact in the solution's update";
453;Moving targets (changing goals, business processes and / or requirements);It comes to my mind on the fly;
467;Moving targets (changing goals, business processes and / or requirements);The client changes objectives and requirements due to the change in his/her context;
663;Moving targets (changing goals, business processes and / or requirements);"No Ideas of goals in terms of strategy; Missing or imcomplete strategy";
710;Moving targets (changing goals, business processes and / or requirements);poor communication of the product owner with the customer;
742;Moving targets (changing goals, business processes and / or requirements);Organisational change;
758;Moving targets (changing goals, business processes and / or requirements);Context switching between products;
851;Moving targets (changing goals, business processes and / or requirements);The customer wants more as he/she knows what the system is capable of doing;
856;Moving targets (changing goals, business processes and / or requirements);legislation changes, priorities change with the change of government;
932;Moving targets (changing goals, business processes and / or requirements);When we are halfway, a more important priority emerges;
1290;Moving targets (changing goals, business processes and / or requirements);Change of Businesscase;
1351;Moving targets (changing goals, business processes and / or requirements);Technical language used by the two parties;
1703;Moving targets (changing goals, business processes and / or requirements);Improper elicitation causes too many unexpected changes;
1762;Moving targets (changing goals, business processes and / or requirements);Changing the plan because financial difficulties;
1767;Moving targets (changing goals, business processes and / or requirements);Customer is not fully aware of what they want neither is project team;
1840;Moving targets (changing goals, business processes and / or requirements);The regulations is changing and intrepreted differently depending on who is reading it;
1894;Moving targets (changing goals, business processes and / or requirements);Multiple projects happening and fighting for priorities, funding, technical resources. etc.;
1909;Moving targets (changing goals, business processes and / or requirements);Lack of methodology;
1923;Moving targets (changing goals, business processes and / or requirements);"Many stakeholders involved; The customer does not analyze the high level requirements";
144;Stakeholders with difficulties in separating requirements from previously known solution designs;many times a solution has been selected before we are engaged (though it may not be the best solution for the problem), and then we are constrained by this;
149;Stakeholders with difficulties in separating requirements from previously known solution designs;It is easyer to discuss solutions (how), instead of the needs (what);
370;Stakeholders with difficulties in separating requirements from previously known solution designs;no deeper knowledge on the systems used;
384;Stakeholders with difficulties in separating requirements from previously known solution designs;"customer expects new application to work like 25 year old legacy system; cannot adjust to different technology;";
649;Stakeholders with difficulties in separating requirements from previously known solution designs;legacy applications;
723;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders' will are different;
819;Stakeholders with difficulties in separating requirements from previously known solution designs;Client does not want to get rid of old systems;
847;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders wanting to design solutions rather than specify problems ;
879;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders with limited focus on the solution.;
997;Stakeholders with difficulties in separating requirements from previously known solution designs;It is an evolution of an existing product;
1055;Stakeholders with difficulties in separating requirements from previously known solution designs;users not used to highly automated solutions;
1079;Stakeholders with difficulties in separating requirements from previously known solution designs;Relationship between customer managers and end users of the customer;
1097;Stakeholders with difficulties in separating requirements from previously known solution designs;Attachment to the legacy system;
1105;Stakeholders with difficulties in separating requirements from previously known solution designs;Users want everything;
1141;Stakeholders with difficulties in separating requirements from previously known solution designs;missing domain know how;
1316;Stakeholders with difficulties in separating requirements from previously known solution designs;in deep knowledge about product and it's usage;
1331;Stakeholders with difficulties in separating requirements from previously known solution designs;Attachment to the previous solution, inability to share knowledge, personal inability;
1352;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of adequate communication;
1357;Stakeholders with difficulties in separating requirements from previously known solution designs;Poor time planning;
1618;Stakeholders with difficulties in separating requirements from previously known solution designs;This results in having the same discussions discussing pros and cons of solutions;
1624;Stakeholders with difficulties in separating requirements from previously known solution designs;radical changes need changes done in smaller increments with POCs there have been instances where the projects were scrapped;
1651;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of understanding of the challenges within the problem domain ie. its more complicated than appears;
1705;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of knowledge by the user;
774;Technically unfeasible requirements;Product owner over promised ;
1225;Technically unfeasible requirements;That the system does everything;
1266;Technically unfeasible requirements;Not all business processes have sufficient maturity to implement projects based on safety and operation standards;
1358;Technically unfeasible requirements;Technical feasibility and technology are not taken into account;
1423;Technically unfeasible requirements;Technical validation of requirements;
1820;Technically unfeasible requirements;poor specification;
129;Terminological problems;Business used different terms to mean the same thing;
213;Terminological problems;Business use different terms in process and those are different from terms used in solutions;
217;Terminological problems;lack of domain knowledge;
304;Terminological problems;"staff turnover; communication  lazyness ; missing glossar";
341;Terminological problems;End customers use a non-technical terminology in another language;
416;Terminological problems;New developers/testers;
570;Terminological problems;lack of easy accessable, common definitions;
626;Terminological problems;Inmature industry;
947;Terminological problems;customers always want a solution yesterday;
990;Terminological problems;Change of best practices during the project;
1118;Terminological problems;Different levels of knowledge in the field;
1161;Terminological problems;EXPERT USER IS NOT WELL TRAINED;
1207;Terminological problems;meaning of the things gets vague;
1699;Terminological problems;The tem is responsible for collecting requirements;
1741;Terminological problems;Assumptions of same knowledge;
1753;Terminological problems;Different technical knowledge of the domain (very experienced engineers talking to non technical stakeholders);
1962;Terminological problems;"Sometimes the team members are new and unfamiliar with business concepts;";
150;Time boxing / Not enough time in general;Not enough time was allocated to requirements review with the vendor and solution design ;
239;Time boxing / Not enough time in general;There is overall not enough time and value for requirements in the company ;
249;Time boxing / Not enough time in general;School projects have deadline in order to get grade;
310;Time boxing / Not enough time in general;budget not high enough for sufficient time;
364;Time boxing / Not enough time in general;"bad planning; not enough money for the project (time is money); can be done by the way";
387;Time boxing / Not enough time in general;Complexity of requirements is too high;
393;Time boxing / Not enough time in general;fixed timelines before requirements analysis;
461;Time boxing / Not enough time in general;management policies, budget;
468;Time boxing / Not enough time in general;Customer always wants everything done as soon as possible. They do not understand the technical difficulty of solving the problems.;
637;Time boxing / Not enough time in general;A delayed project that had to deliver.;
735;Time boxing / Not enough time in general;time management with other projects;
768;Time boxing / Not enough time in general;underestimated effort and project timeline;
795;Time boxing / Not enough time in general;"Overpromised delivery dates/scopes ; Poor leadership within our company ; inability to say No";
830;Time boxing / Not enough time in general;project had a tight timeframe, strong interdependencies on BA deliverables and handover;
865;Time boxing / Not enough time in general;"Lack of planning; Changing Managers";
968;Time boxing / Not enough time in general;The requests are usually timeless and come together;
1014;Time boxing / Not enough time in general;costs;
1031;Time boxing / Not enough time in general;Underestimation of time-consuming tasks;
1111;Time boxing / Not enough time in general;Deadlines are normally imposed;
1114;Time boxing / Not enough time in general;Many requests / little resources.;
1221;Time boxing / Not enough time in general;Unplanned requirements elicitation meetings;
1275;Time boxing / Not enough time in general;Organization;
1406;Time boxing / Not enough time in general;Many projects / tasks;
1417;Time boxing / Not enough time in general;Lack of good relationships between the team;
1466;Time boxing / Not enough time in general;Senior management doesn't understand or value the process and work required for top quality.;
1486;Time boxing / Not enough time in general;Funding;
1761;Time boxing / Not enough time in general;Things take time ;
1911;Time boxing / Not enough time in general;Lack of notion between the requirement and the technical solution;
1918;Time boxing / Not enough time in general;Lack of resources.;
41;Unclear / unmeasurable non-functional requirements;It is difficult to measure usability without lots of beta testing, which we do not have the means to do at this time;
93;Unclear / unmeasurable non-functional requirements;"lack of knowledge; general dissatisfaction";
126;Unclear / unmeasurable non-functional requirements;Lack of product dev knowledge;
170;Unclear / unmeasurable non-functional requirements;not enough documentation;
231;Unclear / unmeasurable non-functional requirements;Inexperienced team members in RE;
378;Unclear / unmeasurable non-functional requirements;customer unwilling to specify a certain expectation;
427;Unclear / unmeasurable non-functional requirements;Customer’s knowledge in this area is not good ;
1064;Unclear / unmeasurable non-functional requirements;Lack of requirement engineering competence:Lack of project management competence;
1167;Unclear / unmeasurable non-functional requirements;Requirements without control of changes are accepted;
1359;Unclear / unmeasurable non-functional requirements;The requirements are continuously changed by the client;
1744;Unclear / unmeasurable non-functional requirements;Same;
1812;Unclear / unmeasurable non-functional requirements;not specified well;
1932;Unclear / unmeasurable non-functional requirements;"knowledge and experience gaps about writing requirements; non-recognition of the importance of the requirements";
1941;Unclear / unmeasurable non-functional requirements;Lack of time;
1963;Unclear / unmeasurable non-functional requirements;x;
48;Underspecified requirements that are too abstract and allow for various interpretations;Causes assumptions of what should be implemented because too vague;
168;Underspecified requirements that are too abstract and allow for various interpretations;People in this project have research backgrounds with little practical experience.;
267;Underspecified requirements that are too abstract and allow for various interpretations;Not enough communication ;
283;Underspecified requirements that are too abstract and allow for various interpretations;uncertainty of of what should be developed and tested - or how it should function.;
549;Underspecified requirements that are too abstract and allow for various interpretations;Features often come from a range of customers/people and sometimes we don't get all the info we need or are badly communicated;
694;Underspecified requirements that are too abstract and allow for various interpretations;"documentation poorly written ; incomplete documentation";
894;Underspecified requirements that are too abstract and allow for various interpretations;Rework;
1070;Underspecified requirements that are too abstract and allow for various interpretations;Feature pressure of top management;
1122;Underspecified requirements that are too abstract and allow for various interpretations;The customer has no functional sense of the desired requirements, and has only concepts of the needs, taking into account the insufficient time, it becomes a big problem;
1139;Underspecified requirements that are too abstract and allow for various interpretations;There are little time to elicit requirements;
1339;Underspecified requirements that are too abstract and allow for various interpretations;Lack of management commitment;
1353;Underspecified requirements that are too abstract and allow for various interpretations;The customer has very short time limits;
1384;Underspecified requirements that are too abstract and allow for various interpretations;The person in charge of the client's side does not understand what the users were wishing to correct;
1426;Underspecified requirements that are too abstract and allow for various interpretations;requirements are formulated by customer, who has little or no experience;
1723;Underspecified requirements that are too abstract and allow for various interpretations;Lack of budget;
1831;Underspecified requirements that are too abstract and allow for various interpretations;Lack of knowledge or specificity;
1896;Underspecified requirements that are too abstract and allow for various interpretations;"Free for all requirement specification (i.e, everyone is allowed to suggest features);";
1917;Underspecified requirements that are too abstract and allow for various interpretations;insufficient documentation/briefing ;
141;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;"business practices; employee transfers; employee terminations";
167;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Leadership;
365;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;"keeping up with the industry; being competitive ";
868;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;lack of time, lack of experience;
880;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Inconsistent customer development process;
1291;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Lacking visibility in partner business;
1675;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;General flux of startup-phase business;
58;Weak access to customer needs and / or (internal) business information;"business as usual; always worked this way";
97;Weak access to customer needs and / or (internal) business information;Project members participate while doing their daily business. ;
359;Weak access to customer needs and / or (internal) business information;There is no person exchanging appropriate information with customers.;
901;Weak access to customer needs and / or (internal) business information;Customer usually is unavailable, slow to respond;
928;Weak access to customer needs and / or (internal) business information;"Business team with low business knowledge; Lack of experience in the position; There is no documentation of the previous version of the products that are in the technology migration process.";
1017;Weak access to customer needs and / or (internal) business information;weak documentation or badly organized/accessible documentation;
1101;Weak access to customer needs and / or (internal) business information;little customer commitment / engagement;
1224;Weak access to customer needs and / or (internal) business information;Lack of cooperation from the client;
1289;Weak access to customer needs and / or (internal) business information;IT orgnaisations with demand manager are the counterpart. Business  resp have not enough time allocated. ;
1415;Weak access to customer needs and / or (internal) business information;The client does not know about the development;
1422;Weak access to customer needs and / or (internal) business information;Weak knowledge between the client and the leader;
1542;Weak access to customer needs and / or (internal) business information;If there is any feedback being captured e.g. through customer service, this information is not know by the project team;
1810;Weak access to customer needs and / or (internal) business information;Inability for technical experts to talk directly with customers;
179;Weak knowledge about customer's application domain;There are special processes within customer needs;
740;Weak knowledge about customer's application domain;Little customer dedication;
912;Weak knowledge about customer's application domain;Rarely have appropriate access to the Architecture, or time to learn the domain details before having to deliver;
1069;Weak knowledge about customer's application domain;communication ;
1171;Weak knowledge about customer's application domain;Lack of knowledge about the business logic;
1279;Weak knowledge about customer's application domain;We are a commercial software company so it can be difficult to fully understand the customer domain;
1296;Weak knowledge about customer's application domain;Software specialist not domain experts;
1321;Weak knowledge about customer's application domain;We do not know how the product is used by the customer ;
1355;Weak knowledge about customer's application domain;They are not completely defined due to contradictions and lack of communication;
1717;Weak knowledge about customer's application domain;Improper analysis;
1727;Weak knowledge about customer's application domain;Lack of equipments;
1842;Weak knowledge about customer's application domain;The project team worked little with similar systems to those they were trying to implement;
120;Weak relationship between customer and project lead;"Geographic ; contract";
420;Weak relationship between customer and project lead;there is very myuch focus on rules and regulations (laws) which are complicated;
1416;Weak relationship between customer and project lead;Lack of understanding;
1695;Weak relationship between customer and project lead;Lack of direct availability or time.;
1791;Weak relationship between customer and project lead;as;
