lfdn;problem;reason
534;Communication flaws between the project and the customer;Expectations not well centered with the customer
539;Communication flaws between the project and the customer;problems when carrying out requirements testing
573;Communication flaws between the project and the customer;Frustration in busness, loss of credibility
586;Communication flaws between the project and the customer;Not having the same picture of what to be delivered or how
637;Communication flaws between the project and the customer;Missing requirements.
640;Communication flaws between the project and the customer;"confusion; reduction in client trust"
663;Communication flaws between the project and the customer;"Increasing project time; delayed delivering; wrong requirements; etc."
676;Communication flaws between the project and the customer;deadlines are delayed
694;Communication flaws between the project and the customer;spent time developing the wrong thing
719;Communication flaws between the project and the customer;Errors in the definition of functionalities
722;Communication flaws between the project and the customer;Terrific impact on the project success
735;Communication flaws between the project and the customer;Delay in project development
742;Communication flaws between the project and the customer;Potential for conflict if not handled carefully 
819;Communication flaws between the project and the customer;Incorrect understanding of the business
849;Communication flaws between the project and the customer;team with less engagement with customer success
856;Communication flaws between the project and the customer;"Delivery something unwanted by the customer; prioritization made by the team and not by the customer making deliveries not efficient"
857;Communication flaws between the project and the customer;different implementations of customer expectation
864;Communication flaws between the project and the customer;incomplete or missing requirements 
870;Communication flaws between the project and the customer;Product out of specification
876;Communication flaws between the project and the customer;the customer does not follow the development
880;Communication flaws between the project and the customer;changes
917;Communication flaws between the project and the customer;Rework
924;Communication flaws between the project and the customer;rework
929;Communication flaws between the project and the customer;Deficiency in identifying and addressing the real customer needs
930;Communication flaws between the project and the customer;the customer and the project interpret different things about the same point
933;Communication flaws between the project and the customer;final product insufficient and unsatisfactory.
945;Communication flaws between the project and the customer;software delivery with features that do not meet the goal, characterization of development team with inability to perform their work
947;Communication flaws between the project and the customer;false/incomplete things are implemented
956;Communication flaws between the project and the customer;NP
968;Communication flaws between the project and the customer;bad specified requirements. Rework
985;Communication flaws between the project and the customer;It generates certain inconsistencies or concerns that affect the final development of the project
1006;Communication flaws between the project and the customer;Delay in delivery of the product
1021;Communication flaws between the project and the customer;"stress in the project; structural system error"
1031;Communication flaws between the project and the customer;Rework, discomfort
1033;Communication flaws between the project and the customer;Rework, waste and frictions are inevitable
1039;Communication flaws between the project and the customer;Sprints with unnecessary activities  or implemented in the wrong way
1066;Communication flaws between the project and the customer;chaos on the project, schedule delays, cost overrun
1076;Communication flaws between the project and the customer;Delay in decision-making and requirements approval 
1082;Communication flaws between the project and the customer;Involves requirements at medium or low depth
1091;Communication flaws between the project and the customer;"Wrong information; lack of information"
1100;Communication flaws between the project and the customer;Rework
1101;Communication flaws between the project and the customer;deadline, scope and cost problems
1111;Communication flaws between the project and the customer;rework and errors
1114;Communication flaws between the project and the customer;Rework
1118;Communication flaws between the project and the customer;Project delays and/or deviations
1126;Communication flaws between the project and the customer;"Product delivered without the necessary or different from the expected quality; Unsatisfied customer; Increased project development costs;"
1159;Communication flaws between the project and the customer;failures IN THE PROJECT
1168;Communication flaws between the project and the customer;"THE PROJECT DO NOT finish in TIME OR function as expected; PROBLEMS OF COSTS"
1171;Communication flaws between the project and the customer;Discomfort of the customer
1187;Communication flaws between the project and the customer;misunderstandings
1189;Communication flaws between the project and the customer;Iteration in elicitation
1229;Communication flaws between the project and the customer;a different product from what the customer requires is developed
1239;Communication flaws between the project and the customer;implementation does not match customer expectation
1279;Communication flaws between the project and the customer;Misinterpreting the requirement and making things potentially worse instead of better.
1283;Communication flaws between the project and the customer;Delays in time to market
1316;Communication flaws between the project and the customer;bad UX or wrong functionality
1331;Communication flaws between the project and the customer;constant design changes in the project and and impacts in the analysis, development and testing
1339;Communication flaws between the project and the customer;CRITICAL POINTS WITH PEOPLE that OPPOSE CHANGES
1341;Communication flaws between the project and the customer;PRODUCT FAILURES 
1343;Communication flaws between the project and the customer;incorrect FUNCTIONAL requirements
1344;Communication flaws between the project and the customer;DIFFERENT PRODUCT TO WHAT THE CUSTOMER WAnts
1347;Communication flaws between the project and the customer;Possible solutions may not be completely adapted to the client's needs
1350;Communication flaws between the project and the customer;THE SOFTWARE DOES NOT MEET THE REQUIREMENTS OF THE CUSTOMER
1351;Communication flaws between the project and the customer;UNSTABLE REPUTATION BY THE PARTIES
1354;Communication flaws between the project and the customer;DEMOTIVATION
1355;Communication flaws between the project and the customer;the DESIRED PRODUCT will not BE OBTAINED
1357;Communication flaws between the project and the customer;INCREASED RESOURCES TO MEET customer satisfaction
1402;Communication flaws between the project and the customer;Missing the  target , wasting resources
1403;Communication flaws between the project and the customer;"delays; misunderstanding"
1413;Communication flaws between the project and the customer;Product failures
1415;Communication flaws between the project and the customer;BUGS
1416;Communication flaws between the project and the customer;PROJECT does not advance
1419;Communication flaws between the project and the customer;INCOMPLETE INFORMATION
1424;Communication flaws between the project and the customer;ABSENCE OF MATERIAL
1441;Communication flaws between the project and the customer;Late changes
1454;Communication flaws between the project and the customer;LACK OF MONEY AND TIME
1457;Communication flaws between the project and the customer;USERS dissatisfaction
1459;Communication flaws between the project and the customer;Customer dissatisfaction
1482;Communication flaws between the project and the customer;SOFTWARE does not meet the FUNCTIONALITY the CUSTOMER NEEDS
1483;Communication flaws between the project and the customer;lags in the proposed CHANGES
1526;Communication flaws between the project and the customer;Rework
1526;Communication flaws between the project and the customer;Rework
1542;Communication flaws between the project and the customer;A bad image of the IT Team, perceived often as too slow, not performant, or a blocker, or incompetent, etc
1617;Communication flaws between the project and the customer;Missing expectations, software that is not needed
1624;Communication flaws between the project and the customer;sub par projects
1650;Communication flaws between the project and the customer;"Time; wrong thing built"
1650;Communication flaws between the project and the customer;Time
1663;Communication flaws between the project and the customer;time lost explaining the original intention to the customer
1669;Communication flaws between the project and the customer;NONCONFORMITYor ERRORS with the CUSTOMER
1675;Communication flaws between the project and the customer;Incorrectly implemented features
1742;Communication flaws between the project and the customer;constant missunderstandings regarding everything
1756;Communication flaws between the project and the customer;Wrong solutions to the problem or problems missed altogether, pretty severe ones
1805;Communication flaws between the project and the customer;estimates are wrong
1828;Communication flaws between the project and the customer;"delays in work; difficulty in clarification of requirements"
1831;Communication flaws between the project and the customer;Not knowing for sure what the customer wants as a requirement.
1840;Communication flaws between the project and the customer;same as the first
1844;Communication flaws between the project and the customer;not always all problems are prevented
1844;Communication flaws between the project and the customer;creates misunderstandings
1849;Communication flaws between the project and the customer;Risk not delivering the correct value
1896;Communication flaws between the project and the customer;Customer feedback is sometimes dismissed
1961;Communication flaws between the project and the customer;"lack of direction;no long term vision"
1965;Communication flaws between the project and the customer;Frustration / doubt in understanding of the project / additional effort
1969;Communication flaws between the project and the customer;The wrong thing gets implemented.
35;Communication flaws within the project team;"lack of experience in software develoment; lack of experience in digital companies (4.0)"
58;Communication flaws within the project team;no information flow
149;Communication flaws within the project team;inefficient
150;Communication flaws within the project team;Delays in schedule
163;Communication flaws within the project team;"Misunderstood or misinterpreted requirements; significant project delays;"
165;Communication flaws within the project team;delays, budget overruns, sometimes reduction of deliverable performance (rarely)
166;Communication flaws within the project team;process takes too long
167;Communication flaws within the project team;"frustration; delays"
168;Communication flaws within the project team;Team member ego can present an issue.
205;Communication flaws within the project team;"rework; waiting; passive-aggressive behavior"
215;Communication flaws within the project team;unsatisfied team members, blaming and finger-pointing
231;Communication flaws within the project team;Potentially not conforming to stakeholder needs
249;Communication flaws within the project team;Doing same work multiple times
278;Communication flaws within the project team;Lack of understanding between project members
297;Communication flaws within the project team;Wrong requirements
330;Communication flaws within the project team;delays, tension in the team, incomplete tasks
387;Communication flaws within the project team;Decisions to ship a product version are false.
444;Communication flaws within the project team;"Re work; They sow bugs"
446;Communication flaws within the project team;delivery impact
467;Communication flaws within the project team;"re work; double work; misunderstandings"
468;Communication flaws within the project team;Incorrect implementations that do not meet the specified requirements.
479;Communication flaws within the project team;Communication Rules
482;Communication flaws within the project team;Less efficiency and productivity 
485;Communication flaws within the project team;disagreements when developing
489;Communication flaws within the project team;bad customer acceptance
518;Communication flaws within the project team;The work has to be rushed
534;Communication flaws within the project team;low productivity meetings and lost time discussing
570;Communication flaws within the project team;wasted time
573;Communication flaws within the project team;Projects not fully meeting business reqauirements, waste of funding
586;Communication flaws within the project team;poblems in deploys
661;Communication flaws within the project team;No general meetings. Communication is done in small committee
694;Communication flaws within the project team;"overall project delays ; some times even conflict between team members"
719;Communication flaws within the project team;Errors in the definition of the functionalities
722;Communication flaws within the project team;Lot of rework, bad team mood
723;Communication flaws within the project team;stray
768;Communication flaws within the project team;misunderstanding in implementation
786;Communication flaws within the project team;Modules do not work together.
825;Communication flaws within the project team;"Confusion and mixed messages; Inconsistent communication to stakeholders; Lack of clear direction"
868;Communication flaws within the project team;rework
870;Communication flaws within the project team;product that does not follow the specification
876;Communication flaws within the project team;Team maturity
901;Communication flaws within the project team;"Delivery failed; rework"
924;Communication flaws within the project team;rework
928;Communication flaws within the project team;Creates an hostile environment between business and development teams, with responsibilities transfers.
929;Communication flaws within the project team;Errors in the treatment of identified needs
931;Communication flaws within the project team;Presenting inconsistent prototype
956;Communication flaws within the project team;NP
984;Communication flaws within the project team;Missunderstandings, deadlocks
985;Communication flaws within the project team;rework
990;Communication flaws within the project team;Delays to complete tasks and backlogs
1006;Communication flaws within the project team;Causes unnecessary changes to the project
1012;Communication flaws within the project team;Bad Quality
1014;Communication flaws within the project team;less communication
1017;Communication flaws within the project team;backtracking
1033;Communication flaws within the project team;The lack of internal synergies to the team generates a sense of hard work and little income or lack of recognition of the customer
1039;Communication flaws within the project team;Sprints with unnecessary or activities implemented in the wrong way
1055;Communication flaws within the project team;some difficulties at development time
1064;Communication flaws within the project team;Project delays
1066;Communication flaws within the project team;chaos on the project, schedule delays, cost overrun
1076;Communication flaws within the project team;frequent realignment of requirements 
1101;Communication flaws within the project team;delivery delays, rework
1118;Communication flaws within the project team;Again, the same above
1124;Communication flaws within the project team;"duplicate work and rework; stress between the sectors of the company."
1126;Communication flaws within the project team;"Complications in the management of the activities of the team; Increased project development costs; Delays in deliveries;"
1139;Communication flaws within the project team;Conflicts between developers and testers
1141;Communication flaws within the project team;inconsistend solution design
1224;Communication flaws within the project team;Distrust of users
1229;Communication flaws within the project team;The speed with which the work is performed is decreased, there may be effort duplication
1238;Communication flaws within the project team;the same mistakes committed many times
1239;Communication flaws within the project team;lost time due to rework
1291;Communication flaws within the project team;Danger of defects because of misunderstandings
1339;Communication flaws within the project team;difficult COORDINATION AND FRUSTRATED or unproductive meetings
1341;Communication flaws within the project team;LACK OF TRAINING
1343;Communication flaws within the project team;FAILURE IN THE PRODUCT implementation
1350;Communication flaws within the project team;ERRORS IN PROGRAMMING AND SOFTWARE COMPOSITION
1354;Communication flaws within the project team;LOSS OF KNOWLEDGE OF the PROJECT OBJECTIVE
1357;Communication flaws within the project team;DELAYS IN DELIVERY DATES
1406;Communication flaws within the project team;Misunderstandings
1411;Communication flaws within the project team;inefficient collaboration
1413;Communication flaws within the project team;Miscommunication
1415;Communication flaws within the project team;UNAVAILABILITY
1419;Communication flaws within the project team;LACK OF COMMUNICATION
1441;Communication flaws within the project team;Late changes, more effort
1454;Communication flaws within the project team;LACK OF trust BY CUSTOMER
1458;Communication flaws within the project team;Implementation time would be extended
1459;Communication flaws within the project team;unequal DISTRIBUTION OF TASKS AS DELAYS 
1482;Communication flaws within the project team;PROBLEMS IN code DEVELOPMENT AND INTERFACES
1483;Communication flaws within the project team;REFUSAL TO presented IDEAS / SOLUTIONS
1484;Communication flaws within the project team;CONFUSing and UNCLEAR REQUIREMENTS
1485;Communication flaws within the project team;NO PORTABILITY
1617;Communication flaws within the project team;Sub optimal software for the customer
1620;Communication flaws within the project team;Relatively inconsequential in my experience. 
1663;Communication flaws within the project team;time lost re-explaining how things should work
1669;Communication flaws within the project team;DOCUMENTATION problems
1675;Communication flaws within the project team;Duplicate/redundant work
1698;Communication flaws within the project team;BAD COMMUNICATION
1742;Communication flaws within the project team;lack of right information to work with which resultis in not doing what you should
1756;Communication flaws within the project team;Usually caught on internal team demos, so impact is restricted to potential delays and additional costs
1810;Communication flaws within the project team;"Team frustration; slips in schedule"
1820;Communication flaws within the project team;Extra hours
1840;Communication flaws within the project team;we are not focus on the same thing, waste of time
1894;Communication flaws within the project team;"rework; team spirit disruptions;"
1918;Communication flaws within the project team;Failure to achieve the goals.
1961;Communication flaws within the project team;"delays;unmet expectations"
1965;Communication flaws within the project team;extra effort
1969;Communication flaws within the project team;Lots of wasted time.
106;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Prolonged testing phase
147;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Rework
165;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;delays, budget overruns, sometimes reduction of deliverable performance (rarely)
168;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;People neglect the demands of a project's finer details.
199;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Willingness to jump into code
208;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"overrunning budget; losing stakeholders acceptance"
213;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Delays
258;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"uncomfortabel feeling on all sides - will we get where we want to be with this budget?; am I going to be held responsible for something I said on an uprecise set of requirements"
263;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"many change requests; late testing; long development cycles"
313;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Developers do not have a big picture overview of the whole project and end up focusing on one sprint at a time.  This means features are sometimes implemented which are later found to be incompatible with a new feature. 
425;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Customer does not get what he need.
442;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;delay in decision making
570;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;longer time to market
586;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;problems in defining requirements
649;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;poor moral in team
847;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Lack of innovation 
923;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Client interferance in the development process
984;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Lack of innovative product features
1031;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;customer dissatisfaction and within the team
1080;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;inefficient solutions and that are not used.
1161;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;AUTOMATED PROCESS IDEALIZATION
1207;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;functionality implemented does not meet the expectations
1296;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Creates hard to achieve goals
1347;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;limited innovation
1353;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;DIFFICULT TO DELIVER PROJECTS
1455;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;SOFTWARE FAILURES
1467;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;rework, extra test effort
1486;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Less documentation than ideal when looking for why certain aspects were dropped. 
1624;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;some requirements are not taken further
1676;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;lots of history to clean up / fix later
1690;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;not meeting deadlines
1697;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Waste of time.
1705;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;UNFINISHED PROJECTS
1763;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Poorly documented features, that are missing tests
1963;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;x
81;Gold plating (implementation of features without corresponding requirements);Waste of resources
146;Gold plating (implementation of features without corresponding requirements);system out of control and difficult to manage
182;Gold plating (implementation of features without corresponding requirements);Quality matters 
188;Gold plating (implementation of features without corresponding requirements);"Delays in development; Demotivation in Dev Team"
215;Gold plating (implementation of features without corresponding requirements);increased costs, higher time effort to finish project
217;Gold plating (implementation of features without corresponding requirements);system that does not meet user needs
259;Gold plating (implementation of features without corresponding requirements);waste of time
313;Gold plating (implementation of features without corresponding requirements);Undesirable behaviour sometimes evades detection until a late stage, since there was no explicit requirement there is no related test case.  Causes unnecessary churn as features have to be taken out later.
384;Gold plating (implementation of features without corresponding requirements);"increase system complexity; incresed development cost"
393;Gold plating (implementation of features without corresponding requirements);less resources for real business value
467;Gold plating (implementation of features without corresponding requirements);necessary features are neglected, and characteristics not requested by the customer are given
549;Gold plating (implementation of features without corresponding requirements);Can lead to something being delivered/released but not exactly as required or with little/no explanation as to why/what was done
640;Gold plating (implementation of features without corresponding requirements);Increased costs
649;Gold plating (implementation of features without corresponding requirements);bugs due to incorrect assumptions
661;Gold plating (implementation of features without corresponding requirements);Work for nothing
774;Gold plating (implementation of features without corresponding requirements);extra work and fail project
847;Gold plating (implementation of features without corresponding requirements);Wasted resource 
864;Gold plating (implementation of features without corresponding requirements);Difficulty in maintenance and gaps in documentation
909;Gold plating (implementation of features without corresponding requirements);Increased time and cost of the project
916;Gold plating (implementation of features without corresponding requirements);delivery features that do not add value
937;Gold plating (implementation of features without corresponding requirements);Projects does not finish
959;Gold plating (implementation of features without corresponding requirements);Lack of documentation and activity log
1011;Gold plating (implementation of features without corresponding requirements);"increasing costs;increasing project runtimes"
1031;Gold plating (implementation of features without corresponding requirements);if not defined, no testable, so they may contain errors
1033;Gold plating (implementation of features without corresponding requirements);It will likely to generate waste, such as rework, removal since there is not a real need, unnecessary increase in complexity
1163;Gold plating (implementation of features without corresponding requirements);Losing time
1171;Gold plating (implementation of features without corresponding requirements);Increased development errors
1207;Gold plating (implementation of features without corresponding requirements);functionality implemented does not meet the expectations
1327;Gold plating (implementation of features without corresponding requirements);Cost driver.
1344;Gold plating (implementation of features without corresponding requirements);poorly performed PROCESSES PERFORMED MAL
1350;Gold plating (implementation of features without corresponding requirements);THE SOFTWARE does not work well
1356;Gold plating (implementation of features without corresponding requirements);SOFTWARE not working
1357;Gold plating (implementation of features without corresponding requirements);Postponed development times
1424;Gold plating (implementation of features without corresponding requirements);Lack of support
1433;Gold plating (implementation of features without corresponding requirements);unnecessary code created
1467;Gold plating (implementation of features without corresponding requirements);took too long to complete project
1526;Gold plating (implementation of features without corresponding requirements);Unpaid work
1620;Gold plating (implementation of features without corresponding requirements);Can impact the project further on in development. 
1651;Gold plating (implementation of features without corresponding requirements);Presents bloats project timeframes
1676;Gold plating (implementation of features without corresponding requirements);usually me stopping the team from spending too much time on a (usually small) task
1759;Gold plating (implementation of features without corresponding requirements);missing documentation
1763;Gold plating (implementation of features without corresponding requirements);Missing req. usually means missing tests, which means poor quality.
1909;Gold plating (implementation of features without corresponding requirements);"Lack of methodology; Poor use of resources; demotivation"
1941;Gold plating (implementation of features without corresponding requirements);Same as above
1969;Gold plating (implementation of features without corresponding requirements);The system does thing that aren't helpful to the customer
58;Incomplete or hidden requirements;missing information
91;Incomplete or hidden requirements;time, cost
93;Incomplete or hidden requirements;frustration in customers
119;Incomplete or hidden requirements;missing features
126;Incomplete or hidden requirements;Risk for the dev
129;Incomplete or hidden requirements;Missed requirements
146;Incomplete or hidden requirements;Problems with nailing it, getting the job done and satisfying the customer
147;Incomplete or hidden requirements;Rework
150;Incomplete or hidden requirements;Scope changes, flawed / incomplete solution and dissatisfied business customer
160;Incomplete or hidden requirements; bug  fixing to our costs
163;Incomplete or hidden requirements;lots of rework to clarify what previous business analyst did resulting in significant project delays and not delivering an acceptable product to customer
165;Incomplete or hidden requirements;delays, budget overruns, sometimes reduction of deliverable performance (rarely)
166;Incomplete or hidden requirements;too many changes
178;Incomplete or hidden requirements;trial and error
188;Incomplete or hidden requirements;"Delays in development; Demotivation in Dev Team"
199;Incomplete or hidden requirements;Failures in qualification and rework.  Also causes rework of the products being backfilled.
205;Incomplete or hidden requirements;"Usually unmet; dissatisfied customer"
215;Incomplete or hidden requirements;unsatisfied customers
239;Incomplete or hidden requirements;Time and effort spent in unneeded features
263;Incomplete or hidden requirements;"many change requests; late testing; long evelopment cycles"
267;Incomplete or hidden requirements;More time and money needed, or smaller scope than firstly planned 
268;Incomplete or hidden requirements;Bad quality
283;Incomplete or hidden requirements;is it a requirement or not. Defect raised and development will state there is no such requirement.
330;Incomplete or hidden requirements;loss of confidence, delays
359;Incomplete or hidden requirements;Lack of ability to listen to requirements from customers
364;Incomplete or hidden requirements;"project takes twice as long as previously planned; budget increases; everybody is annoyed"
416;Incomplete or hidden requirements;cost extra Time
427;Incomplete or hidden requirements;Risk of delays due to unforeseen extra work 
437;Incomplete or hidden requirements;rework
444;Incomplete or hidden requirements;They are detected in testing
453;Incomplete or hidden requirements;Not planning well
461;Incomplete or hidden requirements;customer dissatisfaction
467;Incomplete or hidden requirements;customer dissatisfied or with a product who can not use due to lack of features
479;Incomplete or hidden requirements;Requirements engineering teaching
482;Incomplete or hidden requirements;Design issues 
485;Incomplete or hidden requirements;developments that do not capture what the customer wants
489;Incomplete or hidden requirements;bad customer acceptance
523;Incomplete or hidden requirements;The final product turns out not to be what the customer wants
525;Incomplete or hidden requirements;Builiding the wrong functions
534;Incomplete or hidden requirements;Prioritizing improvements not aligned with the business
541;Incomplete or hidden requirements;ChangeRequests are required at the end
549;Incomplete or hidden requirements;Delivered results may not be 100% what is required leading to repeat development
573;Incomplete or hidden requirements;Deployed projects that do not met requirements
626;Incomplete or hidden requirements;Important requirements not contemplated
637;Incomplete or hidden requirements;The application doesn't work as intended.
640;Incomplete or hidden requirements;"Increased costs; poorly documented changes"
649;Incomplete or hidden requirements;solution does not meet expectations
661;Incomplete or hidden requirements;Work for nothing
663;Incomplete or hidden requirements;Implication to project quality and project cost
676;Incomplete or hidden requirements;the result is not the desired by the customer
676;Incomplete or hidden requirements;development problems arise
710;Incomplete or hidden requirements;rework, missed deadlines, running over budget
719;Incomplete or hidden requirements;Errors in the definition of the functionalities
729;Incomplete or hidden requirements;New elicitation of some requirements that what should be a validation stage, upgrade plans
740;Incomplete or hidden requirements;Estimation error
754;Incomplete or hidden requirements;no
768;Incomplete or hidden requirements;incomplete requirements
847;Incomplete or hidden requirements;Wasted resource to implement these at the end/failed projects 
851;Incomplete or hidden requirements;"delays in deadlines; overwork"
856;Incomplete or hidden requirements;rework
864;Incomplete or hidden requirements;Rework after development
865;Incomplete or hidden requirements;"wrong Implementations/ poorly made; Rework"
870;Incomplete or hidden requirements;Product out of specification
900;Incomplete or hidden requirements;customer dissatisfaction
901;Incomplete or hidden requirements;"Delivery failed; rework"
909;Incomplete or hidden requirements;Delays in the project, deliveries not adhering actual  business needs, high level of maintenance / rework
910;Incomplete or hidden requirements;Rework
912;Incomplete or hidden requirements;Always an issue, can cause delays, re-work, lack of goal achievement
917;Incomplete or hidden requirements;Rework
921;Incomplete or hidden requirements;Impact on development
924;Incomplete or hidden requirements;rework
928;Incomplete or hidden requirements;Low quality in the generated requirements and rework at all stages of the production process.
930;Incomplete or hidden requirements;Requires further adjustments
932;Incomplete or hidden requirements;Always we generate new version
945;Incomplete or hidden requirements;Difficulties in developing requirements, delivering a software with features that do not meet the goal
947;Incomplete or hidden requirements;false/incomplete things are implemented
952;Incomplete or hidden requirements;requirements/scope not define
958;Incomplete or hidden requirements;Deadline for service Legas demands are compromised
987;Incomplete or hidden requirements;more time required
990;Incomplete or hidden requirements;Requirements partially met or not met at all
1006;Incomplete or hidden requirements;incorrect implementation
1011;Incomplete or hidden requirements;"delayed completion of project; dissatisfaction in production/live stage"
1014;Incomplete or hidden requirements;incomplete documentation
1021;Incomplete or hidden requirements;"structural and functional errors; inconsistent product delivery"
1039;Incomplete or hidden requirements;New activities included in sprints
1051;Incomplete or hidden requirements;Unsatisfactory product
1064;Incomplete or hidden requirements;Project delays
1066;Incomplete or hidden requirements;chaos on the project, schedule delays, cost overrun
1069;Incomplete or hidden requirements;covering more stakeholders
1070;Incomplete or hidden requirements;underestimation of delivery roadmaps - unhappy customer and management
1076;Incomplete or hidden requirements;Model used by the institution
1091;Incomplete or hidden requirements;Deliveries with problems
1097;Incomplete or hidden requirements;incomplete implementation with respect to actual need
1100;Incomplete or hidden requirements;Rework
1101;Incomplete or hidden requirements;process failures
1105;Incomplete or hidden requirements;failed tests
1111;Incomplete or hidden requirements;rework
1124;Incomplete or hidden requirements;non-integrated processes that generate rework.
1126;Incomplete or hidden requirements;"Product delivered without the necessary quality or different from what was expected ; Unsatisfied customer; Increased project development costs; Delays in deliveries;"
1141;Incomplete or hidden requirements;change requests, rework in later development phase
1159;Incomplete or hidden requirements;INCOMPLETE IMPLEMENTATIONS
1166;Incomplete or hidden requirements;IMPACT IN THE economic CALCULATION OF THE PROJECT
